project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
alloa-scotland,Alloa,heritage_buffer,LB1967,hes-listed-building:LB1967,"Arnsbrae House, including terrace",Officially designated historic asset. See the linked HES record for the statutory address and current supplementary description.,Category B,Listed Building,Listed Building,-3.8212222885991434,56.1251320158172,high,1885 (later additions excluded),documented_construction,high,https://portal.historicenvironment.scot/designation/LB1967,2026-07-30T09:49:45.612Z,Historic Environment Scotland
alloa-scotland,Alloa,heritage_buffer,LB1968,hes-listed-building:LB1968,Arnsbrae House Stable Block,Officially designated historic asset. See the linked HES record for the statutory address and current supplementary description.,Category C,Listed Building,Listed Building,-3.823843660823154,56.12476982516755,high,1885,documented_construction,high,https://portal.historicenvironment.scot/designation/LB1968,2026-07-30T09:49:45.612Z,Historic Environment Scotland
alloa-scotland,Alloa,heritage_buffer,LB1969,hes-listed-building:LB1969,Arnsbrae House Lodge,Officially designated historic asset. See the linked HES record for the statutory address and current supplementary description.,Category C,Listed Building,Listed Building,-3.8230209689345602,56.12370362678879,high,1885,documented_construction,high,https://portal.historicenvironment.scot/designation/LB1969,2026-07-30T09:49:45.612Z,Historic Environment Scotland
alloa-scotland,Alloa,heritage_buffer,LB1975,hes-listed-building:LB1975,Lornshill Farmhouse,Officially designated historic asset. See the linked HES record for the statutory address and current supplementary description.,Category B,Listed Building,Listed Building,-3.820380224988952,56.13046426551928,high,Present by 1770,present_by,high,https://portal.historicenvironment.scot/designation/LB1975,2026-07-30T09:49:45.612Z,Historic Environment Scotland
alloa-scotland,Alloa,heritage_buffer,LB1983,hes-listed-building:LB1983,Keilarsbrae House,Officially designated historic asset. See the linked HES record for the statutory address and current supplementary description.,Category C,Listed Building,Listed Building,-3.779534369534311,56.12472433766537,high,Circa 1830,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB1983,2026-07-30T09:49:45.612Z,Historic Environment Scotland
alloa-scotland,Alloa,inside_locality,LB20953,hes-listed-building:LB20953,Mar and Kellie Mausoleum,A Gothic mausoleum in the Old Kirkyard containing important earlier Erskine family memorials.,Category B,Listed Building,Listed Building,-3.792086764636463,56.113040528134704,high,"1819, incorporating earlier memorials dated 1572, 1582 and 1709",documented_date_range,high,https://portal.historicenvironment.scot/designation/LB20953,2026-07-30T09:49:45.612Z,Historic Environment Scotland
alloa-scotland,Alloa,inside_locality,LB20954,hes-listed-building:LB20954,Alloa Old Kirkyard,Historic kirkyard with a high rubble enclosure and significant 18th- and early-19th-century monuments.,Category B,Listed Building,Listed Building,-3.7909159728305193,56.11311143258388,high,Primarily 18th- and early-19th-century monuments,documented_date_range,medium,https://portal.historicenvironment.scot/designation/LB20954,2026-07-30T09:49:45.612Z,Historic Environment Scotland
alloa-scotland,Alloa,inside_locality,LB20955,hes-listed-building:LB20955,"Star House, 25 Kirkgate",A highly decorated late-17th-century town house associated with the master mason Tobias Bauchop.,Category A,Listed Building,Listed Building,-3.7931072709071625,56.11319644950949,high,1695,documented_construction,high,https://portal.historicenvironment.scot/designation/LB20955,2026-07-30T09:49:45.612Z,Historic Environment Scotland
alloa-scotland,Alloa,inside_locality,LB20956,hes-listed-building:LB20956,Kilncraigs,"The English Baroque office and factory building of Patons & Baldwins, reflecting Alloa's textile-industrial importance.",Category A,Listed Building,Listed Building,-3.7899257283403194,56.113260584230815,high,1903–1904; converted 2003–2004,documented_date_range,high,https://portal.historicenvironment.scot/designation/LB20956,2026-07-30T09:49:45.612Z,Historic Environment Scotland
alloa-scotland,Alloa,inside_locality,LB20957,hes-listed-building:LB20957,"St John's Episcopal Church, Lime Tree Walk",An Early Geometrical Gothic Episcopal church with a broach spire and notable interior artwork.,Category B,Listed Building,Listed Building,-3.7935038476724343,56.11273239469792,high,1867–1869 and 1872,documented_date_range,high,https://portal.historicenvironment.scot/designation/LB20957,2026-07-30T09:49:45.612Z,Historic Environment Scotland
alloa-scotland,Alloa,inside_locality,LB20958,hes-listed-building:LB20958,"Gatepiers formerly of Alloa House, Lime Tree Walk",Surviving entrance features from the former Alloa House estate.,Category B,Listed Building,Listed Building,-3.79429191380834,56.111004584919144,high,Outer piers possibly 1714; inner piers 19th century,documented_date_range,medium,https://portal.historicenvironment.scot/designation/LB20958,2026-07-30T09:49:45.612Z,Historic Environment Scotland
