project_id,town,feature_id,feature_name,alternative_names,feature_type,designation_type,statutory_status,evidence_scope,geometry_type,longitude,latitude,location_type,location_confidence,current_date_text,current_date_basis,current_date_confidence,published_review_status,primary_source_organisation,primary_source_name,primary_source_record_id,primary_source_url,source_accessed_at,all_source_record_ids,review_notes,review_action
alloa-scotland,Alloa,nrhe:47179,ALLOA, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7963874628285272,56.115757631822795,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,47179,https://www.trove.scot/place/47179,2026-07-30T09:57:34.027Z,47179,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: broad archaeological inventory evidence retained without an inferred construction date. It is available through the archaeology-evidence map filter and Data Review.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:194455,"ALLOA HARBOUR, DOCK WAREHOUSE",ALLOA DOCKS,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7953184722134155,56.10800028555047,site_centroid,medium,,unknown,unknown,reviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,194455,https://www.trove.scot/place/194455,2026-07-30T09:57:34.027Z,194455,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: named NRHE built-environment, industrial, transport or place record retained for targeted source-date research. Final named-site review completed. The available NRHE and local-history sources did not establish a date for this specific mapped feature; it remains openly undated rather than receiving a site, business or nearby-asset date.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:120695,"ALLOA HOUSE, GARDEN", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.785251795709634,56.11217202466633,site_centroid,medium,,unknown,unknown,reviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,120695,https://www.trove.scot/place/120695,2026-07-30T09:57:34.027Z,120695,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: named NRHE built-environment, industrial, transport or place record retained for targeted source-date research. Final named-site review completed. The available NRHE and local-history sources did not establish a date for this specific mapped feature; it remains openly undated rather than receiving a site, business or nearby-asset date.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:141923,"ALLOA, 21 KIRKGATE", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.793533783652575,56.11319318553751,site_centroid,medium,,unknown,unknown,reviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,141923,https://www.trove.scot/place/141923,2026-07-30T09:57:34.027Z,141923,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: named NRHE built-environment, industrial, transport or place record retained for targeted source-date research. Final named-site review completed. The available NRHE and local-history sources did not establish a date for this specific mapped feature; it remains openly undated rather than receiving a site, business or nearby-asset date.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:220544,"ALLOA, 36-40 HIGH STREET, BOOTS THE CHEMIST", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.791903965892932,56.115499297996976,site_centroid,medium,,unknown,unknown,reviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,220544,https://www.trove.scot/place/220544,2026-07-30T09:57:34.027Z,220544,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: named NRHE built-environment, industrial, transport or place record retained for targeted source-date research. Final named-site review completed. The available NRHE and local-history sources did not establish a date for this specific mapped feature; it remains openly undated rather than receiving a site, business or nearby-asset date.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:141977,"ALLOA, 80-82 MILL STREET, OLD CO-OPERATIVE BUILDING", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.790254455682516,56.11530756703001,site_centroid,medium,,unknown,unknown,reviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,141977,https://www.trove.scot/place/141977,2026-07-30T09:57:34.027Z,141977,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: named NRHE built-environment, industrial, transport or place record retained for targeted source-date research. Final named-site review completed. The available NRHE and local-history sources did not establish a date for this specific mapped feature; it remains openly undated rather than receiving a site, business or nearby-asset date.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:79075,"ALLOA, 98 TULLIBODY ROAD", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.8024392652088475,56.1230649198922,site_centroid,medium,,unknown,unknown,reviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,79075,https://www.trove.scot/place/79075,2026-07-30T09:57:34.027Z,79075,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: named NRHE built-environment, industrial, transport or place record retained for targeted source-date research. Final named-site review completed. The available NRHE and local-history sources did not establish a date for this specific mapped feature; it remains openly undated rather than receiving a site, business or nearby-asset date.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:310413,"ALLOA, ALLOA PARK, GENERAL", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.789045597681675,56.11040077269401,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,310413,https://www.trove.scot/place/310413,2026-07-30T09:57:34.027Z,310413,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: catalogue/general-view record retained for provenance and Data Review, but hidden from the public map because it is not a discrete mapped heritage asset.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:140175,"ALLOA, AULD BRIG",OLD BRIDGE,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7894424452358613,56.115139620765085,site_centroid,medium,,unknown,unknown,reviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,140175,https://www.trove.scot/place/140175,2026-07-30T09:57:34.027Z,140175,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: named NRHE built-environment, industrial, transport or place record retained for targeted source-date research. Final named-site review completed. The available NRHE and local-history sources did not establish a date for this specific mapped feature; it remains openly undated rather than receiving a site, business or nearby-asset date.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alloa-scotland,Alloa,nrhe:141203,"ALLOA, BANK STREET, GENERAL", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7933582591610917,56.11391461571908,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,141203,https://www.trove.scot/place/141203,2026-07-30T09:57:34.027Z,141203,"Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Curation classification: catalogue/general-view record retained for provenance and Data Review, but hidden from the public map because it is not a discrete mapped heritage asset.",Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
