project_id,town,feature_id,feature_name,alternative_names,feature_type,designation_type,statutory_status,evidence_scope,geometry_type,longitude,latitude,location_type,location_confidence,current_date_text,current_date_basis,current_date_confidence,published_review_status,primary_source_organisation,primary_source_name,primary_source_record_id,primary_source_url,source_accessed_at,all_source_record_ids,review_notes,review_action
alva-scotland,Alva,nrhe:47093,ALVA BURN, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.806910111683841,56.16862169668267,site_centroid,medium,Included in the authoritative NRHE Mapping spatial record (2026); construction date not established,present_by,low,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,47093,https://www.trove.scot/place/47093,2026-07-30T12:35:27.382Z,47093,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Completion review: assigned an authoritative record-presence date so the record is not represented as undated; construction/origin remains unestablished.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alva-scotland,Alva,nrhe:350103,ALVA BURN, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.817598075531974,56.181764248520714,site_centroid,medium,Included in the authoritative NRHE Mapping spatial record (2026); construction date not established,present_by,low,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,350103,https://www.trove.scot/place/350103,2026-07-30T12:35:27.382Z,350103,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Completion review: assigned an authoritative record-presence date so the record is not represented as undated; construction/origin remains unestablished.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alva-scotland,Alva,nrhe:47090,"ALVA GLEN, FOOTBRIDGE","THE WISHING WELL, LADY'S WELL",archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7957499982736453,56.15728231244018,site_centroid,medium,Included in the authoritative NRHE Mapping spatial record (2026); construction date not established,present_by,low,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,47090,https://www.trove.scot/place/47090,2026-07-30T12:35:27.382Z,47090,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Completion review: assigned an authoritative record-presence date so the record is not represented as undated; construction/origin remains unestablished.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alva-scotland,Alva,nrhe:111957,ALVA HOUSE WALLED GARDEN, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7829394259258153,56.156380534803645,site_centroid,medium,Included in the authoritative NRHE Mapping spatial record (2026); construction date not established,present_by,low,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,111957,https://www.trove.scot/place/111957,2026-07-30T12:35:27.382Z,111957,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Completion review: assigned an authoritative record-presence date so the record is not represented as undated; construction/origin remains unestablished.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alva-scotland,Alva,nrhe:111956,"ALVA HOUSE, GATE LODGES", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.784355727713534,56.152550036827904,site_centroid,medium,Included in the authoritative NRHE Mapping spatial record (2026); construction date not established,present_by,low,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,111956,https://www.trove.scot/place/111956,2026-07-30T12:35:27.382Z,111956,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Completion review: assigned an authoritative record-presence date so the record is not represented as undated; construction/origin remains unestablished.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alva-scotland,Alva,nrhe:138970,"ALVA, 20 BEAUCLERC STREET, ANCREVILLE", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.8003360652767038,56.15549924877301,site_centroid,medium,Included in the authoritative NRHE Mapping spatial record (2026); construction date not established,present_by,low,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,138970,https://www.trove.scot/place/138970,2026-07-30T12:35:27.382Z,138970,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Completion review: assigned an authoritative record-presence date so the record is not represented as undated; construction/origin remains unestablished.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alva-scotland,Alva,nrhe:138971,"ALVA, 22 BEAUCLERC STREET", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.8005431352294083,56.1554513013169,site_centroid,medium,Included in the authoritative NRHE Mapping spatial record (2026); construction date not established,present_by,low,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,138971,https://www.trove.scot/place/138971,2026-07-30T12:35:27.382Z,138971,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Completion review: assigned an authoritative record-presence date so the record is not represented as undated; construction/origin remains unestablished.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alva-scotland,Alva,nrhe:138972,"ALVA, 24 BEAUCLERC STREET", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.8006705949768556,56.15542248577825,site_centroid,medium,Included in the authoritative NRHE Mapping spatial record (2026); construction date not established,present_by,low,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,138972,https://www.trove.scot/place/138972,2026-07-30T12:35:27.382Z,138972,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Completion review: assigned an authoritative record-presence date so the record is not represented as undated; construction/origin remains unestablished.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alva-scotland,Alva,nrhe:197042,"ALVA, 34 OCHIL ROAD, ST SERF'S PARISH CHURCH, MANSE", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.79352924017005,56.155238806136204,site_centroid,medium,Included in the authoritative NRHE Mapping spatial record (2026); construction date not established,present_by,low,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,197042,https://www.trove.scot/place/197042,2026-07-30T12:35:27.382Z,197042,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Completion review: assigned an authoritative record-presence date so the record is not represented as undated; construction/origin remains unestablished.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alva-scotland,Alva,nrhe:297172,"ALVA, BRAEHEAD", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7972300958165857,56.15587694950935,site_centroid,medium,Included in the authoritative NRHE Mapping spatial record (2026); construction date not established,present_by,low,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,297172,https://www.trove.scot/place/297172,2026-07-30T12:35:27.382Z,297172,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Completion review: assigned an authoritative record-presence date so the record is not represented as undated; construction/origin remains unestablished.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alva-scotland,Alva,nrhe:47082,"ALVA, BRAEHEAD MILL","ALVA, BRAEHEAD WOOLLEN MILL",archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.79799138049477,56.155973705375615,site_centroid,medium,Included in the authoritative NRHE Mapping spatial record (2026); construction date not established,present_by,low,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,47082,https://www.trove.scot/place/47082,2026-07-30T12:35:27.382Z,47082,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Completion review: assigned an authoritative record-presence date so the record is not represented as undated; construction/origin remains unestablished.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
alva-scotland,Alva,nrhe:138974,"ALVA, BRICK AND TILE WORKS", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.8092839439902813,56.15061494320361,site_centroid,medium,Included in the authoritative NRHE Mapping spatial record (2026); construction date not established,present_by,low,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,138974,https://www.trove.scot/place/138974,2026-07-30T12:35:27.382Z,138974,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence. Completion review: assigned an authoritative record-presence date so the record is not represented as undated; construction/origin remains unestablished.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
