project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
bathgate-scotland,Bathgate,inside_locality,LB6713,hes-listed-building:LB6713,"Easter Inch Farmsteading Cottage, Blackburn Road, Bathgate",EASTER INCH FARMHOUSE AND STEADING,Category B,Listed Building,Listed Building,-3.618827061351245,55.88879725027449,medium,1869 with later alterations and additions,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB6713,2026-07-31T23:08:15.169Z,Historic Environment Scotland
bathgate-scotland,Bathgate,inside_locality,LB22125,hes-listed-building:LB22125,"Bathgate Academy, Marjoribanks Street, Bathgate",BATHGATE ACADEMY,Category A,Listed Building,Listed Building,-3.633727289120311,55.90053403395801,high,1831-3,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB22125,2026-07-31T23:08:15.169Z,Historic Environment Scotland
bathgate-scotland,Bathgate,inside_locality,LB22126,hes-listed-building:LB22126,"22 Livery Street, Bathgate",22 LIVERY STREET INCLUDING OUTBUILDINGS TO REAR,Category C,Listed Building,Listed Building,-3.642271810204326,55.902882558950274,high,Early/mid 19th-century cottage appearance with 18th-century walling and mainly 19th-century outbuildings,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB22126,2026-07-31T23:08:15.169Z,Historic Environment Scotland
bathgate-scotland,Bathgate,inside_locality,LB22127,hes-listed-building:LB22127,"Museum, 9, 11 Mansefield Street, Bathgate","9, 11 MANSEFIELD STREET",Category C,Listed Building,Listed Building,-3.6429558233600763,55.90279255657031,high,Cottage row with earliest phase probably late 18th century and latest probably built by mid 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB22127,2026-07-31T23:08:15.169Z,Historic Environment Scotland
bathgate-scotland,Bathgate,inside_locality,LB22128,hes-listed-building:LB22128,"St David's Church And Hall, George Street, Bathgate","GEORGE STREET, ST DAVID'S CHURCH (CHURCH OF SCOTLAND) WITH BELL TOWER, CHURCH HALLS AND BOUNDARY WALLS",Category B,Listed Building,Listed Building,-3.6420199533113133,55.90184352043804,high,"J Graham Fairley, 1904",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB22128,2026-07-31T23:08:15.169Z,Historic Environment Scotland
bathgate-scotland,Bathgate,inside_locality,LB22129,hes-listed-building:LB22129,"Bathgate High Church, Jarvey Street, Bathgate","JARVEY STREET, HIGH CHURCH OF SCOTLAND WITH GRAVEYARD, BOUNDARY WALLS, RAILINGS AND GATEPIERS",Category B,Listed Building,Listed Building,-3.640152201839685,55.90420482701612,high,"Wardrop and Reid, 1882-1884",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB22129,2026-07-31T23:08:15.169Z,Historic Environment Scotland
bathgate-scotland,Bathgate,inside_locality,LB45918,hes-listed-building:LB45918,"Regal Cinema,  24-34 North Bridge Street, Bathgate","24-34 (EVEN NOS) NORTH BRIDGE STREET, THE REGAL COMMUNITY THEATRE (FORMER REGAL CINEMA)",Category B,Listed Building,Listed Building,-3.6448369513565786,55.902264210494934,high,"A D Haxton, Leven, completed 1938",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB45918,2026-07-31T23:08:15.169Z,Historic Environment Scotland
bathgate-scotland,Bathgate,inside_locality,LB50544,hes-listed-building:LB50544,"Presbytery, Church Of The Immaculate Conception","LIVERY STREET, CHURCH OF THE IMMACULATE CONCEPTION (ST MARY'S) (ROMAN CATHOLIC), INCLUDING BOUNDARY WALLS, GATEPIERS AND RAILINGS",Category C,Listed Building,Listed Building,-3.6418785462063505,55.903417989608336,high,"Charles Menart, 1907-8",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB50544,2026-07-31T23:08:15.169Z,Historic Environment Scotland
bathgate-scotland,Bathgate,inside_locality,LB50608,hes-listed-building:LB50608,"Boundary Walls And Gatepiers, Evangical Union Congregational / United Reformed Church Including Halls, Marjoribanks Street","MARJORIBANKS STREET, EVANGICAL UNION CONGREGATIONAL / UNITED REFORMED CHURCH INCLUDING HALLS, BOUNDARY WALLS AND GATEPIERS",Category C,Listed Building,Listed Building,-3.636996919360642,55.902970785461356,high,"J G Fairley, dated 1894",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB50608,2026-07-31T23:08:15.169Z,Historic Environment Scotland
bathgate-scotland,Bathgate,inside_locality,LB51105,hes-listed-building:LB51105,"Pavilion Bingo (Former Pavilion Cinema), 19, 21 George Place","19, 21 GEORGE PLACE, PAVILION BINGO (FORMER PAVILION CINEMA)",Category C,Listed Building,Listed Building,-3.6414914681436064,55.900313929708695,high,"John Fairweather, 1920",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB51105,2026-07-31T23:08:15.169Z,Historic Environment Scotland
bathgate-scotland,Bathgate,inside_locality,LB52605,hes-listed-building:LB52605,Boghall Parish Church,"Boghall Parish Church and glazed entrance foyer (Hall of Fellowship), excluding  adjoining church hall and link block to east, Elizabeth Drive, Bathgate",Category C,Listed Building,Listed Building,-3.6080343749404475,55.89963223586487,medium,Built between 1963 and 1965,documented_date_range,high,https://portal.historicenvironment.scot/designation/LB52605,2026-07-31T23:08:15.169Z,Historic Environment Scotland
