project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
biggar-scotland,Biggar,heritage_buffer,LB5098,hes-listed-building:LB5098,Biggar Park,BIGGAR PARK MANSION HOUSE,Category B,Listed Building,Listed Building,-3.538654867206893,55.61851344513746,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5098,2026-07-31T15:49:40.620Z,Historic Environment Scotland
biggar-scotland,Biggar,heritage_buffer,LB5099,hes-listed-building:LB5099,"Stables, Biggar Park","BIGGAR PARK, STABLES AND OUTBUILDINGS",Category B,Listed Building,Listed Building,-3.539765555322662,55.61808612877518,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5099,2026-07-31T15:49:40.620Z,Historic Environment Scotland
biggar-scotland,Biggar,heritage_buffer,LB5100,hes-listed-building:LB5100,"Lodge, Biggar Park","BIGGAR PARK SOUTH LODGE, INCLUDING WALLS, GATEPIERS AND RAILINGS",Category C,Listed Building,Listed Building,-3.536033292669334,55.61807003168973,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB5100,2026-07-31T15:49:40.620Z,Historic Environment Scotland
biggar-scotland,Biggar,heritage_buffer,LB6371,hes-listed-building:LB6371,"Biggar Mill, Biggar Mill Road, Biggar",BIGGAR MILL AND MILLHOUSE,Category B,Listed Building,Listed Building,-3.527397043497604,55.62669700267714,high,19th century corn mill with well-preserved interior machinery,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB6371,2026-07-31T15:49:40.620Z,Historic Environment Scotland
biggar-scotland,Biggar,heritage_buffer,LB6462,hes-listed-building:LB6462,"Lodge, Lindsaylands","LINDSAYLANDS, LODGE AND GATEPIERS",Category B,Listed Building,Listed Building,-3.5421455705679987,55.619655802706184,high,"William Leiper, circa 1869",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB6462,2026-07-31T15:49:40.620Z,Historic Environment Scotland
biggar-scotland,Biggar,inside_locality,LB22169,hes-listed-building:LB22169,"Breezehill, 4 Coulter Road, Biggar",THE CAMB 4 COULTER ROAD,Category B,Listed Building,Listed Building,-3.5293308193558603,55.62170343066112,high,"Probably 1830/40, perhaps incorporating an existing",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB22169,2026-07-31T15:49:40.620Z,Historic Environment Scotland
biggar-scotland,Biggar,inside_locality,LB22170,hes-listed-building:LB22170,"Gas Showroom, Gasworks Road, Biggar","GAS SHOWROOMS, GASWORKS ROAD.",Category A,Listed Building,Listed Building,-3.527777469954808,55.623412233527475,high,"Circa 1840, 1 storey",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB22170,2026-07-31T15:49:40.620Z,Historic Environment Scotland
biggar-scotland,Biggar,inside_locality,LB22171,hes-listed-building:LB22171,"Gaswork Manager's House, 2 Gasworks Road, Biggar","2, GASWORKS ROAD.",Category A,Listed Building,Listed Building,-3.5274254527890077,55.62334472732688,high,"Circa 1840, 1 storey and attic",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB22171,2026-07-31T15:49:40.620Z,Historic Environment Scotland
biggar-scotland,Biggar,inside_locality,LB22172,hes-listed-building:LB22172,"Gasworks, Gasworks Road, Biggar",BIGGAR GASWORKS,Category A,Listed Building,Listed Building,-3.527945090429227,55.62323041745221,high,Gasworks opened in 1839; original retort house dates from 1839,documented_construction,high,https://portal.historicenvironment.scot/designation/LB22172,2026-07-31T15:49:40.620Z,Historic Environment Scotland
biggar-scotland,Biggar,inside_locality,LB22173,hes-listed-building:LB22173,"Cadger's Brig, Biggar",CADGER'S BRIG HIGH STREET,Category A,Listed Building,Listed Building,-3.5279992923708354,55.622582722144244,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB22173,2026-07-31T15:49:40.620Z,Historic Environment Scotland
