project_id,town,feature_id,feature_name,alternative_names,feature_type,designation_type,statutory_status,evidence_scope,geometry_type,longitude,latitude,location_type,location_confidence,current_date_text,current_date_basis,current_date_confidence,published_review_status,primary_source_organisation,primary_source_name,primary_source_record_id,primary_source_url,source_accessed_at,all_source_record_ids,review_notes,review_action
biggar-scotland,Biggar,nrhe:48641,BIGGAR,,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.529432045737108,55.62063278745578,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,48641,https://www.trove.scot/place/48641,2026-07-31T15:50:05.711Z,48641,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
biggar-scotland,Biggar,nrhe:199161,"BIGGAR CHURCH, GATES AND GATE-PIERS","ST MARY'S CHURCH, BIGGAR KIRK",archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.525624417043301,55.624813953820166,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,199161,https://www.trove.scot/place/199161,2026-07-31T15:50:05.711Z,199161,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
biggar-scotland,Biggar,nrhe:199088,"BIGGAR, 1 NORTH BACK ROAD, STEWART COTTAGE",,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.525299952190103,55.62463826213222,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,199088,https://www.trove.scot/place/199088,2026-07-31T15:50:05.711Z,199088,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
biggar-scotland,Biggar,nrhe:199021,"BIGGAR, 1 WEIR COURT","BUILDINGS TO REAR OF 136 - 138 HIGH STREET, BACKLANDS",archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.520879948561966,55.624513428729685,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,199021,https://www.trove.scot/place/199021,2026-07-31T15:50:05.711Z,199021,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
biggar-scotland,Biggar,nrhe:199093,"BIGGAR, 1, 3 PARK PLACE, SCOTTISH MILL SHOP",,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.528383890519635,55.622263405854454,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,199093,https://www.trove.scot/place/199093,2026-07-31T15:50:05.711Z,199093,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
biggar-scotland,Biggar,nrhe:198971,"BIGGAR, 12 EDINBURGH ROAD",,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.5179223803682294,55.626886527311626,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,198971,https://www.trove.scot/place/198971,2026-07-31T15:50:05.711Z,198971,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
biggar-scotland,Biggar,nrhe:243486,"BIGGAR, 120 HIGH STREET",,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.522259467162818,55.62404699400586,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,243486,https://www.trove.scot/place/243486,2026-07-31T15:50:05.711Z,243486,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
biggar-scotland,Biggar,nrhe:81180,"BIGGAR, 13 CROFTFOOT TERRACE",,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.529233521839122,55.62369063635804,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,81180,https://www.trove.scot/place/81180,2026-07-31T15:50:05.711Z,81180,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
biggar-scotland,Biggar,nrhe:198968,"BIGGAR, 13 EDINBURGH ROAD, WOODVILLE",,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.5188609923323786,55.626515451786204,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,198968,https://www.trove.scot/place/198968,2026-07-31T15:50:05.711Z,198968,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
biggar-scotland,Biggar,nrhe:151341,"BIGGAR, 13-17 STATION ROAD, FACTORY","13, 15, 17, BALLGREEN ROAD, SAXONY",archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.5272378278309056,55.621379045056514,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,151341,https://www.trove.scot/place/151341,2026-07-31T15:50:05.711Z,151341,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
