project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4509,hes-listed-building:LB4509,"Gilloch House, Bridge Of Earn",GILLOCH HALL BRIDGE OF EARN,Category C,Listed Building,Listed Building,-3.405018216952317,56.34909209969385,high,Later 18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4509,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4510,hes-listed-building:LB4510,"Masonic Hall, Back Street, Bridge Of Earn",MASONIC HALL (FORMER FREE CHURCH HALL AND BEADLE'S HOUSE) BRIDGE OF EARN,Category C,Listed Building,Listed Building,-3.4044699238393377,56.34870296659335,high,Circa 1843,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4510,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4511,hes-listed-building:LB4511,"Imrie Court, Back Street, Bridge Of Earn","FORMER FREE CHURCH (I IMRIE, ANTIQUES) BRIDGE OF EARN",Category C,Listed Building,Listed Building,-3.4043540608648573,56.34863239817406,high,Circa 1843,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4511,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4512,hes-listed-building:LB4512,"Sealsbridge House, Bridge Of Earn",'SEALSBRIDGE HOUSE' BRIDGE OF EARN,Category C,Listed Building,Listed Building,-3.4039563009927094,56.348376334728314,high,Later 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4512,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4513,hes-listed-building:LB4513,"Former Bridge of Earn Surgery, Earnlade, Earnend, Margay Flats 2A,2B and 2C, Corner Block at Main Street and Side Street","Corner block at Main Street and Side Street including former Bridge of Earn Surgery, Viewfield Flats 1,2 and 3, Inverine, Earnlade, Earnend, and Margay Flats 2A, 2B and 2C, Bridge of Earn",Category C,Listed Building,Listed Building,-3.4060510622769438,56.34857721192471,medium,"William Burn architect, designed 1823, built circa 1832-34 as part of uncompleted scheme",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4513,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4514,hes-listed-building:LB4514,"Heughfield House, Kintillo",HAUGHFIELD HOUSE KINTILLO,Category C,Listed Building,Listed Building,-3.4097559662032446,56.343737007409466,high,Late 18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4514,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4515,hes-listed-building:LB4515,"Earnbank House Hotel, Bridge Of Earn",BRIDGE OF EARN FORMER EARNBANK HOTEL,Category C,Listed Building,Listed Building,-3.4031515153621,56.34937382359815,high,Dted 1788,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4515,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4527,hes-listed-building:LB4527,Kilgraston House,KILGRASTON HOUSE,Category A,Listed Building,Listed Building,-3.416332571636951,56.34176611720309,high,Designed by Francis Grant after 1793,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4527,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4528,hes-listed-building:LB4528,"Entrance Gateway, Kilgraston House",KILGRASTON HOUSE GATES,Category B,Listed Building,Listed Building,-3.4101450224835306,56.34112686477543,high,Circa 1820,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4528,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4529,hes-listed-building:LB4529,"Entrance Gate-Lodge, Kilgraston House",KILGRASTON HOUSE LODGE,Category B,Listed Building,Listed Building,-3.4103024267522466,56.341008265153214,high,Circa 1820,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4529,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4530,hes-listed-building:LB4530,"Stable Block, Kilgraston House",KILGRASTON HOUSE FORMER STABLE BLOCK,Category B,Listed Building,Listed Building,-3.4186192584675483,56.34147938315704,high,Early 19th century presumably by Francis Grant,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4530,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,heritage_buffer,LB4531,hes-listed-building:LB4531,"Walled Garden And Kilgraston Cottages, Kilgraston House",KILGRASTON WALLED GARDEN,Category C,Listed Building,Listed Building,-3.422327733946443,56.33853462976389,high,"Late 18th century, presumably by Francis Grant",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4531,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,heritage_buffer,LB4533,hes-listed-building:LB4533,"Stables, Ballendrick House",BALLENDRICK HOUSE STABLES,Category C,Listed Building,Listed Building,-3.427048145162918,56.34191271249971,high,Circa 1823,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4533,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4537,hes-listed-building:LB4537,"Dunbarney Parish Church, Bridge Of Earn",PARISH CHURCH OF DUNBARNEY,Category C,Listed Building,Listed Building,-3.4091667299479904,56.3505724753648,high,"1787 (dated), interior recast, new bellcote, skews and",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4537,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4538,hes-listed-building:LB4538,"Session Room, Dunbarney Parish Church, Bridge Of Earn","PARISH CHURCH OF DUNBARNEY, SESSION ROOM",Category C,Listed Building,Listed Building,-3.409206641964032,56.3503384059373,high,"Probably 1787, at churchyard gate",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4538,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4539,hes-listed-building:LB4539,"Churchyard, Dunbarney Parish Church, Bridge Of Earn",DUNBARNEY CHURCHYARD,Category C,Listed Building,Listed Building,-3.4097206674087257,56.35067399702355,high,"A few early 19th century stones, not of special note",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4539,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4540,hes-listed-building:LB4540,"Dunbarney Parish Manse, Bridge Of Earn",MANSE OF DUNBARNEY,Category C,Listed Building,Listed Building,-3.4092820641871073,56.35150562568587,high,"1775, early 19th century back wing, front extended to 4-",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4540,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4541,hes-listed-building:LB4541,"Cyprus Inn, Back Street, Bridge Of Earn",CYPRUS INN BRIDGE OF EARN,Category C,Listed Building,Listed Building,-3.405467819967435,56.34943742383897,high,Dated 1790,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4541,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,inside_locality,LB4542,hes-listed-building:LB4542,"Fetteresk, Back Street, Bridge Of Earn","BRIDGE OF EARN, BACK STREET, BURNBRAE, BURNSIDE AND FETTERESK",Category C,Listed Building,Listed Building,-3.4053344565744013,56.349331113989564,high,Dated 1800,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB4542,2026-08-01T08:00:58.341Z,Historic Environment Scotland
bridge-of-earn-scotland,Bridge of Earn,heritage_buffer,LB51437,hes-listed-building:LB51437,"East Gate, Moncreiffe Estate","MONCREIFFE ESTATE, EAST GATE",Category C,Listed Building,Listed Building,-3.405484137758112,56.353399714377844,high,Mid to later 19th century (See Notes),estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB51437,2026-08-01T08:00:58.341Z,Historic Environment Scotland
