project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
broughty-ferry-scotland,Broughty Ferry,heritage_buffer,LB9009,hes-listed-building:LB9009,"Pile Lighthouse, Firth Of Tay, Tayport",PILE LIGHTHOUSE,Category B,Listed Building,Listed Building,-2.8724545213753343,56.4530132684781,medium,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB9009,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,inside_locality,LB25732,hes-listed-building:LB25732,"K6 Telephone Kiosk, Beach Crescent, Broughty Ferry, Dundee","BROUGHTY FERRY, BEACH CRESCENT, K6 TELEPHONE KIOSK",Category B,Listed Building,Listed Building,-2.873961574717864,56.46494294907836,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25732,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,heritage_buffer,LB25743,hes-listed-building:LB25743,"St Margaret's Church, Invermark Terrace, Barnhill, Dundee","BARNHILL, INVERMARK TERRACE, BARNHILL ST MARGARET'S CHURCH",Category B,Listed Building,Listed Building,-2.847879680393965,56.47363205901755,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25743,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,heritage_buffer,LB25744,hes-listed-building:LB25744,"St Margaret's Manse, Invermark Terrace, Barnhill, Dundee","BARNHILL, INVERMARK TERRACE, ST MARGARET'S MANSE",Category C,Listed Building,Listed Building,-2.8487825857592517,56.47335635762448,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25744,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,heritage_buffer,LB25746,hes-listed-building:LB25746,"The Gorse, 11 Panmure Terrace, Barnhill, Dundee","BARNHILL 11 PANMURE TERRACE, THE GORSE, INCLUDING FORMER COACH HOUSE AND STABLE, BOUNDARY WALLS AND GATEPIERS",Category C,Listed Building,Listed Building,-2.8524044256891385,56.4734393528882,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25746,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,heritage_buffer,LB25748,hes-listed-building:LB25748,"Longcroft, 2 Panmure Terrace, Barnhill, Dundee","BARNHILL, 2 PANMURE TERRACE, LONGCROFT, INCLUDING MYRTLE COTTAGE",Category B,Listed Building,Listed Building,-2.8528782482586883,56.47285211412942,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25748,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,heritage_buffer,LB25749,hes-listed-building:LB25749,"Ferncroft, 8 Panmure Terrace, Barnhill, Dundee","BARNHILL, 6 AND 8 PANMURE TERRACE, FERNCROFT, INCLUDING GARAGE, GATEPIERS AND GATES",Category B,Listed Building,Listed Building,-2.852298384049099,56.47305375297074,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25749,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,heritage_buffer,LB25750,hes-listed-building:LB25750,"Barnhill Cemetery Lodge, 27 Strathmore Street, Barnhill, Dundee","BARNHILL, 27 STRATHMORE STREET, BARNHILL CEMETERY LODGE",Category C,Listed Building,Listed Building,-2.8568316658940303,56.474684654871005,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25750,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,heritage_buffer,LB25751,hes-listed-building:LB25751,"Barnhill Cemetery, Barnhill, Dundee","BARNHILL, STRATHMORE STREET, BARNHILL CEMETERY INCLUDING BOUNDARY WALLS, GATES AND GATEPIERS",Category C,Listed Building,Listed Building,-2.8569705913931256,56.47580674266348,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25751,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,heritage_buffer,LB25752,hes-listed-building:LB25752,"Gilroy Mausoleum, Barnhill Cemetery, Dundee","BARNHILL, STRATHMORE STREET, BARNHILL CEMETERY, GILROY MAUSOLEUM",Category B,Listed Building,Listed Building,-2.8568510628255424,56.47626577075287,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25752,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,inside_locality,LB25753,hes-listed-building:LB25753,"1 Ambrose Street, Broughty Ferry, Dundee","BROUGHTY FERRY, 1 AMBROSE STREET",Category C,Listed Building,Listed Building,-2.875425097728014,56.46506740158341,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25753,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,inside_locality,LB25754,hes-listed-building:LB25754,"3 Ambrose Street, Broughty Ferry, Dundee","BROUGHTY FERRY, 3 AMBROSE STREET",Category C,Listed Building,Listed Building,-2.875490832603905,56.46510287556237,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25754,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,inside_locality,LB25755,hes-listed-building:LB25755,"19 Ambrose Street, Broughty Ferry, Dundee","BROUGHTY FERRY, 19 AMBROSE STREET",Category C,Listed Building,Listed Building,-2.875305411005559,56.46550848152768,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25755,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,inside_locality,LB25756,hes-listed-building:LB25756,"Gowan Lea, 6 Bath Street, Broughty Ferry, Dundee","BROUGHTY FERRY, 6 BATH STREET, GOWAN LEA",Category C,Listed Building,Listed Building,-2.8744549905054115,56.46522697481059,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25756,2026-09-02T06:42:38.783Z,Historic Environment Scotland
broughty-ferry-scotland,Broughty Ferry,inside_locality,LB25757,hes-listed-building:LB25757,"8 Bath Street, Broughty Ferry, Dundee","BROUGHTY FERRY, 8 BATH STREET",Category C,Listed Building,Listed Building,-2.8744239819823174,56.46529008409708,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB25757,2026-09-02T06:42:38.783Z,Historic Environment Scotland
