project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
broxburn-and-uphall-scotland,Broxburn and Uphall,inside_locality,LB7427,hes-listed-building:LB7427,"Broxburn Viaduct, Kirkliston","RAILWAY VIADUCT, BROXBURN-NEWBRIDGE ROAD",Category A,Listed Building,Listed Building,-3.433061649454313,55.9374312244845,high,1842,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7427,2026-07-31T23:19:53.436Z,Historic Environment Scotland
broxburn-and-uphall-scotland,Broxburn and Uphall,heritage_buffer,LB7435,hes-listed-building:LB7435,Kilpunt Dovecot,KILPUNT DOOCOT,Category C,Listed Building,Listed Building,-3.4449737655023887,55.93101095676272,high,18th (?) century,estimated_from_authoritative_source,low,https://portal.historicenvironment.scot/designation/LB7435,2026-07-31T23:19:53.436Z,Historic Environment Scotland
broxburn-and-uphall-scotland,Broxburn and Uphall,heritage_buffer,LB14226,hes-listed-building:LB14226,"Dovecot, Houstoun House",HOUSTOUN DOOCOT,Category C,Listed Building,Listed Building,-3.5168673120934453,55.925851201766065,high,17th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14226,2026-07-31T23:19:53.436Z,Historic Environment Scotland
broxburn-and-uphall-scotland,Broxburn and Uphall,heritage_buffer,LB14230,hes-listed-building:LB14230,"Bridge No. 24, Union Canal",UNION CANAL BRIDGE 24 HAWTHORN BRAE,Category C,Listed Building,Listed Building,-3.474217779049457,55.9267824806655,high,"c.1820; Hugh Baird, engineer",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14230,2026-07-31T23:19:53.436Z,Historic Environment Scotland
broxburn-and-uphall-scotland,Broxburn and Uphall,inside_locality,LB14231,hes-listed-building:LB14231,"Bridge No. 25, Broxburn, Union Canal",UNION CANAL BRIDGE 25 BROXBURN,Category C,Listed Building,Listed Building,-3.4773621785086744,55.93076149456367,high,"c.1820; Hugh Baird, engineer",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14231,2026-07-31T23:19:53.436Z,Historic Environment Scotland
broxburn-and-uphall-scotland,Broxburn and Uphall,inside_locality,LB14232,hes-listed-building:LB14232,"Astronomical Stone, Kirkhill House, Galloway Crescent, Broxburn","ASTRONOMICAL STONE (IN WALLED GARDEN AND PILLARS, KIRKHILL",Category B,Listed Building,Listed Building,-3.483705870534862,55.93507933972224,high,1776-7,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14232,2026-07-31T23:19:53.436Z,Historic Environment Scotland
broxburn-and-uphall-scotland,Broxburn and Uphall,inside_locality,LB14233,hes-listed-building:LB14233,"Broxburn, Bridge No. 28, Union Canal","UNION CANAL BRIDGE, 28",Category C,Listed Building,Listed Building,-3.463910176282094,55.94077961274556,high,"c.1820; Hugh Baird, engineer",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14233,2026-07-31T23:19:53.436Z,Historic Environment Scotland
broxburn-and-uphall-scotland,Broxburn and Uphall,inside_locality,LB14234,hes-listed-building:LB14234,"Bridge No. 29, Broxburn, Union Canal","UNION CANAL BRIDGE, 29",Category C,Listed Building,Listed Building,-3.458222074114143,55.94279700981021,high,"c.1820; Hugh Baird, engineer",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14234,2026-07-31T23:19:53.436Z,Historic Environment Scotland
broxburn-and-uphall-scotland,Broxburn and Uphall,inside_locality,LB14235,hes-listed-building:LB14235,Uphall Church And Burial-Ground,UPHALL KIRK. (ST. NICHOLAS,Category B,Listed Building,Listed Building,-3.506513950529327,55.933733151735275,high,"Later 12th century, with later 15th, 1644 and 1878 phases",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14235,2026-07-31T23:19:53.436Z,Historic Environment Scotland
broxburn-and-uphall-scotland,Broxburn and Uphall,inside_locality,LB14236,hes-listed-building:LB14236,"The Old Manse, Ecclesmachan Road, Uphall","UPHALL OLD MANSE, ECCLESMACHAN RD.",Category C,Listed Building,Listed Building,-3.5064298377857117,55.934453054912375,high,c.1695,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14236,2026-07-31T23:19:53.436Z,Historic Environment Scotland
broxburn-and-uphall-scotland,Broxburn and Uphall,inside_locality,LB14237,hes-listed-building:LB14237,"25, 27 Ecclesmachan Road, Uphall","25 AND 27, 29 ECCLESMACHAN ROAD UPPER UPHALL",Category C,Listed Building,Listed Building,-3.507534097192269,55.93320847133769,high,Nos 27 and 29: 18th century; No 25: 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14237,2026-07-31T23:19:53.436Z,Historic Environment Scotland
broxburn-and-uphall-scotland,Broxburn and Uphall,inside_locality,LB14238,hes-listed-building:LB14238,"47 Ecclesmachan Road, Uphall",47 ECCLESMACHAN ROAD UPPER UPHALL,Category C,Listed Building,Listed Building,-3.507226435401855,55.93476680279373,medium,19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14238,2026-07-31T23:19:53.436Z,Historic Environment Scotland
broxburn-and-uphall-scotland,Broxburn and Uphall,inside_locality,LB14239,hes-listed-building:LB14239,"Crossgreen Farm, 26 Ecclesmachan Road, Uphall",CROSSGREEN FARM 26 ECCLESMACHAN ROAD UPHALL,Category C,Listed Building,Listed Building,-3.5076263643918577,55.93105071775334,high,19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14239,2026-07-31T23:19:53.436Z,Historic Environment Scotland
broxburn-and-uphall-scotland,Broxburn and Uphall,inside_locality,LB14240,hes-listed-building:LB14240,"30 Ecclesmachan Road, 28, Uphall","28, 30 ECCLESMACHAN ROAD UPHALL",Category C,Listed Building,Listed Building,-3.5077790818379815,55.93127349662121,high,19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14240,2026-07-31T23:19:53.436Z,Historic Environment Scotland
