project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
culross-scotland,Culross,inside_locality,LB3345,curated:hes-lb3345,Blairburn Cottage,Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category C,Listed Building,Listed Building,-3.6392108585589305,56.05502177727002,medium,"Inset sundial and stone, ""1705.",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB3345,2026-07-30T09:49:55.235Z,Historic Environment Scotland
culross-scotland,Culross,inside_locality,LB3346,curated:hes-lb3346,"St Serf's Church, Dunimarle",Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category B,Listed Building,Listed Building,-3.641961474875106,56.054751565024716,high,"Private Episcopal Church, built 1871; nave, apse and three-bell belfry.",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB3346,2026-07-30T09:49:55.235Z,Historic Environment Scotland
culross-scotland,Culross,inside_locality,LB3347,curated:hes-lb3347,West End Cottage,Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category B,Listed Building,Listed Building,-3.6156686153227513,56.05770461040396,high,"A traditional two and one-and-a-half storey, rectangular-plan domestic building, likely dating to around the mid-18th century but possibly earlier and originally comprising two dwellings, converted to one house before 1814.",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB3347,2026-07-30T09:49:55.235Z,Historic Environment Scotland
culross-scotland,Culross,inside_locality,LB3348,curated:hes-lb3348,Old Dunimarle Castle,Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category B,Listed Building,Listed Building,-3.6445981848219082,56.05482427719701,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB3348,2026-07-30T09:49:55.235Z,Historic Environment Scotland
culross-scotland,Culross,inside_locality,LB3349,curated:hes-lb3349,Dunimarle Castle,The principal Category A building within the Dunimarle designed landscape west of the burgh.,Category A,Listed Building,Listed Building,-3.6438029678385266,56.05500560878334,high,Historic Dunimarle Castle; exact phase dates require live HES transcription,unknown,unknown,https://portal.historicenvironment.scot/designation/LB3349,2026-07-30T09:49:55.235Z,Historic Environment Scotland
culross-scotland,Culross,inside_locality,LB3358,curated:hes-lb3358,"Lucknow Villas, Low Valleyfield",Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category C,Listed Building,Listed Building,-3.6136486053452495,56.05855775181805,high,"Two-storey 18th century houses, harl and slate, one with",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB3358,2026-07-30T09:49:55.235Z,Historic Environment Scotland
culross-scotland,Culross,inside_locality,LB3359,curated:hes-lb3359,"Ness View, Low Valleyfield",Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category C,Listed Building,Listed Building,-3.61197295753133,56.058813289601304,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB3359,2026-07-30T09:49:55.235Z,Historic Environment Scotland
culross-scotland,Culross,inside_locality,LB3360,curated:hes-lb3360,"West Entrance, Valleyfield Policies",Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category B,Listed Building,Listed Building,-3.6064998110034825,56.060439238150224,medium,"A pair of small, square neo-classical ashlar gate lodges likely dating from the late 18th century, which originally formed the west entrance to Valleyfield House (demolished in the mid 20 th century) in Higher Valleyfield.",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB3360,2026-07-30T09:49:55.235Z,Historic Environment Scotland
culross-scotland,Culross,inside_locality,LB3361,curated:hes-lb3361,Woodhead Farm,Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category B,Listed Building,Listed Building,-3.6087860205977482,56.06134398574863,high,FARMHOUSE: Early 19th century 2-storey 3-bay Gothick farmhouse.,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB3361,2026-07-30T09:49:55.235Z,Historic Environment Scotland
culross-scotland,Culross,heritage_buffer,LB16616,hes-listed-building:LB16616,Newmills Bridge,NEWMILLS - LOW TORRY VILLAGE NEWMILLS BRIDGE OVER BLUTHER BURN.,Category B,Listed Building,Listed Building,-3.5887101639741226,56.06057972113956,high,Early 19th century.,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB16616,2026-07-30T09:49:55.235Z,Historic Environment Scotland
