project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
gourock-scotland,Gourock,inside_locality,LB12477,hes-listed-building:LB12477,"Castle Levan Hotel, Gourock","CASTLE LEVAN AND WEST LODGE, CLOCH ROAD, BY GOUROCK",Category C,Listed Building,Listed Building,-4.858842465902875,55.94785306646536,high,Early 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB12477,2026-07-31T21:35:51.780Z,Historic Environment Scotland
gourock-scotland,Gourock,inside_locality,LB12478,hes-listed-building:LB12478,Castle Levan,"LEVAN CASTLE (RESTORED RUIN), ADJOINING CASTLE LEVAN, CLOCH ROAD, BY GOUROCK.",Category B,Listed Building,Listed Building,-4.858738907541654,55.94710040108871,high,Probably 14th-15th century with early 16th-century south-east block,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB12478,2026-07-31T21:35:51.780Z,Historic Environment Scotland
gourock-scotland,Gourock,inside_locality,LB13820,hes-listed-building:LB13820,"The Cloch Lighthouse, Inverkip",CLOCH LIGHTHOUSE,Category B,Listed Building,Listed Building,-4.87864288239561,55.94225002753889,high,1796-1797,documented_construction,high,https://portal.historicenvironment.scot/designation/LB13820,2026-07-31T21:35:51.780Z,Historic Environment Scotland
gourock-scotland,Gourock,inside_locality,LB33975,hes-listed-building:LB33975,"Jubilee Drinking Fountain, Albert Road, Gourock","ALBERT ROAD, JUBILEE DRINKING FOUNTAIN",Category C,Listed Building,Listed Building,-4.829475664324379,55.95614496134199,high,"Walter Macfarlane & Co, 1897",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB33975,2026-07-31T21:35:51.780Z,Historic Environment Scotland
gourock-scotland,Gourock,inside_locality,LB33976,hes-listed-building:LB33976,"War Memorial, Albert Road, Gourock","ALBERT ROAD, WAR MEMORIAL",Category C,Listed Building,Listed Building,-4.822448572725568,55.96063882922856,high,Circa 1920,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB33976,2026-07-31T21:35:51.780Z,Historic Environment Scotland
gourock-scotland,Gourock,inside_locality,LB33977,hes-listed-building:LB33977,"12-13 Albert Road, Gourock",12 AND 13 ALBERT ROAD,Category C,Listed Building,Listed Building,-4.8217400988212855,55.96059214278936,high,"Earlier 19th century, likely built in or around the 1830s",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB33977,2026-07-31T21:35:51.780Z,Historic Environment Scotland
gourock-scotland,Gourock,inside_locality,LB33979,hes-listed-building:LB33979,"16-17 Albert Road, Gourock",16 AND 17 ALBERT ROAD,Category B,Listed Building,Listed Building,-4.8219235757501275,55.960471084205416,high,Earlier to mid 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB33979,2026-07-31T21:35:51.780Z,Historic Environment Scotland
gourock-scotland,Gourock,inside_locality,LB33980,hes-listed-building:LB33980,"42-44 Albert Road, Gourock",38-44 (EVEN NOS) ALBERT ROAD,Category C,Listed Building,Listed Building,-4.823228415533347,55.95924566599029,high,Pre 1856,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB33980,2026-07-31T21:35:51.780Z,Historic Environment Scotland
gourock-scotland,Gourock,inside_locality,LB33981,hes-listed-building:LB33981,"50-52 Albert Road, Gourock",46-52 (EVEN NOS) ALBERT ROAD WITH BOUNDARY WALL AND GATEPIERS,Category B,Listed Building,Listed Building,-4.82344060658555,55.95907900264471,high,Earlier to mid 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB33981,2026-07-31T21:35:51.780Z,Historic Environment Scotland
gourock-scotland,Gourock,inside_locality,LB33982,hes-listed-building:LB33982,"Western House, 76-78 Albert Road, Gourock",76 AND 78 ALBERT ROAD WITH BOUNDARY WALL AND GATEPIERS,Category B,Listed Building,Listed Building,-4.82473529975215,55.9583751510175,high,Earlier 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB33982,2026-07-31T21:35:51.780Z,Historic Environment Scotland
gourock-scotland,Gourock,inside_locality,LB33983,hes-listed-building:LB33983,"80, 82 Albert Road, Gourock","80,82 AND 84 ALBERT ROAD",Category B,Listed Building,Listed Building,-4.824882184642669,55.958192005370805,high,Earlier 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB33983,2026-07-31T21:35:51.780Z,Historic Environment Scotland
gourock-scotland,Gourock,inside_locality,LB33984,hes-listed-building:LB33984,"86, 88 Albert Road, Gourock",86 AND 88 ALBERT ROAD,Category C,Listed Building,Listed Building,-4.8251328978527175,55.95811434342048,high,"Mid to later 19th century, reworking and extension of slightly earlier villa",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB33984,2026-07-31T21:35:51.780Z,Historic Environment Scotland
gourock-scotland,Gourock,inside_locality,LB33985,hes-listed-building:LB33985,"96, 97 Albert Road, Gourock",96 AND 97 ALBERT ROAD WITH GATEPIERS,Category C,Listed Building,Listed Building,-4.8259280780487455,55.95759272451468,high,Early 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB33985,2026-07-31T21:35:51.780Z,Historic Environment Scotland
gourock-scotland,Gourock,inside_locality,LB33986,hes-listed-building:LB33986,"114-115 Albert Road, Gourock",114 AND 115 ALBERT ROAD WITH BOUNDARY WALL AND GATEPIERS,Category B,Listed Building,Listed Building,-4.827765515983834,55.95664267403976,high,Earlier to mid 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB33986,2026-07-31T21:35:51.780Z,Historic Environment Scotland
