project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
killin-scotland,Killin,inside_locality,LB8248,hes-listed-building:LB8248,Killin Parish Church,"KILLIN, MAIN STREET, KILLIN AND ARDEONAIG PARISH CHURCH (CHURCH OF SCOTLAND) INCLUDING BOUNDARY WALLS",Category B,Listed Building,Listed Building,-4.317254458133539,56.46965165550215,high,Signed and dated 1744,documented_construction,high,https://portal.historicenvironment.scot/designation/LB8248,2026-07-31T16:10:36.549Z,Historic Environment Scotland
killin-scotland,Killin,inside_locality,LB8261,hes-listed-building:LB8261,"Bridge Of Lochay, River Lochay, Killin","KILLIN, BRIDGE OF LOCHAY OVER RIVER LOCHAY",Category B,Listed Building,Listed Building,-4.323941364194694,56.47837867110693,high,18th-century bridge over the River Lochay,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB8261,2026-07-31T16:10:36.549Z,Historic Environment Scotland
killin-scotland,Killin,inside_locality,LB8267,hes-listed-building:LB8267,"Burial-Ground, Killin Parish Church",KILLIN PARISH CHURCH GRAVEYARD TO NORTH EAST OF CHURCH INCLUDING BOUNDARY WALLS AND GATES,Category C,Listed Building,Listed Building,-4.3166247364384205,56.470508176967996,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB8267,2026-07-31T16:10:36.549Z,Historic Environment Scotland
killin-scotland,Killin,inside_locality,LB8268,hes-listed-building:LB8268,"The Manse, Killin","KILLIN, INVERTAY HOUSE, FORMER MANSE, INCLUDING BOUNDARY WALLS",Category C,Listed Building,Listed Building,-4.321110182159505,56.47057713830829,high,Largely built in 1806; possible earlier fabric is not dated as construction,documented_construction,high,https://portal.historicenvironment.scot/designation/LB8268,2026-07-31T16:10:36.549Z,Historic Environment Scotland
killin-scotland,Killin,inside_locality,LB8270,hes-listed-building:LB8270,"Ashlea, Main Street, Killin","KILLIN, MAIN STREET, ASHLEA AND UPPER ASHLEA INCLUDING ANCILLARY BUILDING AND BOUNDARY WALLS",Category C,Listed Building,Listed Building,-4.319188114003102,56.465418668360705,high,Probably dating from the later 18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB8270,2026-07-31T16:10:36.549Z,Historic Environment Scotland
killin-scotland,Killin,inside_locality,LB8271,hes-listed-building:LB8271,"Glengarry, Main Street, Killin","KILLIN, MAIN STREET, GLENGARRY INCLUDING BOUNDARY WALLS",Category C,Listed Building,Listed Building,-4.319294506352664,56.46529985059815,high,Probably dating from the later 18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB8271,2026-07-31T16:10:36.549Z,Historic Environment Scotland
killin-scotland,Killin,inside_locality,LB8272,hes-listed-building:LB8272,"Birchbank, Main Street, Killin","KILLIN, MAIN STREET, BIRCHBANK INCLUDING BOUNDARY WALLS",Category C,Listed Building,Listed Building,-4.31940418320602,56.465234892531576,high,Probably dating from the later 18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB8272,2026-07-31T16:10:36.549Z,Historic Environment Scotland
killin-scotland,Killin,inside_locality,LB8273,hes-listed-building:LB8273,"House Adjoining Masonic Hall, Main Street, Killin","KILLIN, MAIN STREET, MASONIC LODGE AND WHITE HOUSE AND MANSE BRAE, BREADALBANE COTTAGE",Category C,Listed Building,Listed Building,-4.319477048149096,56.46509872755232,high,Originally dating to circa 1845,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB8273,2026-07-31T16:10:36.549Z,Historic Environment Scotland
killin-scotland,Killin,inside_locality,LB8274,hes-listed-building:LB8274,"Dochart Mill, Killin","KILLIN, BREADALBANE FOLKLORE CENTRE, FORMER ST FILLAN'S MILL",Category B,Listed Building,Listed Building,-4.320977298551869,56.462814970615405,high,Constructed circa 1840,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB8274,2026-07-31T16:10:36.549Z,Historic Environment Scotland
killin-scotland,Killin,inside_locality,LB8275,hes-listed-building:LB8275,"Bridge Of Dochart, Killin","KILLIN, BRIDGE OF DOCHART OVER FALLS OF DOCHART",Category A,Listed Building,Listed Building,-4.320239642957957,56.46296356947014,high,"Bridge dated 1760, rebuilt after flood damage in 1831",documented_construction,high,https://portal.historicenvironment.scot/designation/LB8275,2026-07-31T16:10:36.549Z,Historic Environment Scotland
