project_id,town,feature_id,feature_name,alternative_names,feature_type,designation_type,statutory_status,evidence_scope,geometry_type,longitude,latitude,location_type,location_confidence,current_date_text,current_date_basis,current_date_confidence,published_review_status,primary_source_organisation,primary_source_name,primary_source_record_id,primary_source_url,source_accessed_at,all_source_record_ids,review_notes,review_action
killin-scotland,Killin,nrhe:137850,BRIDGE OF LOCHAY HOTEL,KILLIN,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-4.324262246742238,56.47804913523437,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,137850,https://www.trove.scot/place/137850,2026-07-31T16:11:01.631Z,137850,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
killin-scotland,Killin,nrhe:24202,CRAIGNAVIE,CNOC A' MHANAICH,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-4.331950614792884,56.45910433486824,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,24202,https://www.trove.scot/place/24202,2026-07-31T16:11:01.631Z,24202,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
killin-scotland,Killin,nrhe:166540,FINLARIG FARM,,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-4.316419356408161,56.47593108002404,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,166540,https://www.trove.scot/place/166540,2026-07-31T16:11:01.631Z,166540,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
killin-scotland,Killin,nrhe:166539,FINLARIG HOUSE,,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-4.314986871055755,56.47640715082436,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,166539,https://www.trove.scot/place/166539,2026-07-31T16:11:01.631Z,166539,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
killin-scotland,Killin,nrhe:141632,"FINLARIG, BREADALBANE MAUSOLEUM, NORTH GATES",FINLARIG HOUSE POLICIES,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-4.3154075035627315,56.47558150139388,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,141632,https://www.trove.scot/place/141632,2026-07-31T16:11:01.631Z,141632,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
killin-scotland,Killin,nrhe:24220,KILLIN,"MONMORE, MONADH-MOR",archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-4.3240635476247045,56.462847072024125,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,24220,https://www.trove.scot/place/24220,2026-07-31T16:11:01.631Z,24220,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
killin-scotland,Killin,nrhe:163168,"KILLIN, CARDING MILL",RIVER DOCHART,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-4.317519492728322,56.46467697374726,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,163168,https://www.trove.scot/place/163168,2026-07-31T16:11:01.631Z,163168,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
killin-scotland,Killin,nrhe:200838,"KILLIN, COTTAGE FOR MRS L M B CRAWFORD",,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-4.3219538442086955,56.47349107279135,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,200838,https://www.trove.scot/place/200838,2026-07-31T16:11:01.631Z,200838,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
killin-scotland,Killin,nrhe:137859,"KILLIN, DUNDARAMH",DUNDARAM HOTEL,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-4.32159910974528,56.4728113738704,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,137859,https://www.trove.scot/place/137859,2026-07-31T16:11:01.631Z,137859,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
killin-scotland,Killin,nrhe:352510,"KILLIN, FALLS OF DOCHART",,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-4.320413188586254,56.462349216984165,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,352510,https://www.trove.scot/place/352510,2026-07-31T16:11:01.631Z,352510,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
