project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
kincardine-on-forth-scotland,Kincardine-on-Forth,inside_locality,LB15046,curated:hes-lb15046,"Tulliallan Parish Church, Kirk Street",A Gothic parish church with a prominent clock tower and traceried parapet.,Category B,Listed Building,Listed Building,-3.7162600071754164,56.071982137821244,high,Porch dated 1833,documented_construction,high,https://portal.historicenvironment.scot/designation/LB15046,2026-07-30T09:49:59.991Z,Historic Environment Scotland
kincardine-on-forth-scotland,Kincardine-on-Forth,inside_locality,LB15047,curated:hes-lb15047,22–38 Hawkhill Road,Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category C,Listed Building,Listed Building,-3.7227369272921726,56.0731139972311,high,Latter half of the 18th century,estimated_from_authoritative_source,high,https://portal.historicenvironment.scot/designation/LB15047,2026-07-30T09:49:59.991Z,Historic Environment Scotland
kincardine-on-forth-scotland,Kincardine-on-Forth,inside_locality,LB16573,curated:hes-lb16573,3 and 5 Excise Street,Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category C,Listed Building,Listed Building,-3.719387174765971,56.067885875597895,high,Dated 1745; substantially rebuilt circa 1900,documented_date_range,high,https://portal.historicenvironment.scot/designation/LB16573,2026-07-30T09:49:59.991Z,Historic Environment Scotland
kincardine-on-forth-scotland,Kincardine-on-Forth,inside_locality,LB16574,curated:hes-lb16574,14 and 16 Excise Street,Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category B,Listed Building,Listed Building,-3.7195930256899805,56.0681795484282,high,Late 18th century,estimated_from_authoritative_source,high,https://portal.historicenvironment.scot/designation/LB16574,2026-07-30T09:49:59.991Z,Historic Environment Scotland
kincardine-on-forth-scotland,Kincardine-on-Forth,inside_locality,LB16575,curated:hes-lb16575,63 and 65 Kilbagie Street,Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category C,Listed Building,Listed Building,-3.7213169422411507,56.071174842752505,high,Number 65 is inscribed 1804,documented_construction,high,https://portal.historicenvironment.scot/designation/LB16575,2026-07-30T09:49:59.991Z,Historic Environment Scotland
kincardine-on-forth-scotland,Kincardine-on-Forth,inside_locality,LB16576,curated:hes-lb16576,"15–31 Keith Street, all odd numbers",Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category C,Listed Building,Listed Building,-3.7196826634614344,56.06730664737112,high,"Late 18th to early 19th century; dated lintels include 1798, 1800 and 1812",documented_date_range,high,https://portal.historicenvironment.scot/designation/LB16576,2026-07-30T09:49:59.991Z,Historic Environment Scotland
kincardine-on-forth-scotland,Kincardine-on-Forth,inside_locality,LB16577,curated:hes-lb16577,"26, 28 and 30 Keith Street",Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category B,Listed Building,Listed Building,-3.7204340056231326,56.06722428513204,high,Late 18th century,estimated_from_authoritative_source,high,https://portal.historicenvironment.scot/designation/LB16577,2026-07-30T09:49:59.991Z,Historic Environment Scotland
kincardine-on-forth-scotland,Kincardine-on-Forth,inside_locality,LB16578,curated:hes-lb16578,"32, 34 and 36 Keith Street",Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category B,Listed Building,Listed Building,-3.7206069988220962,56.0671409980883,high,Late 18th century,estimated_from_authoritative_source,high,https://portal.historicenvironment.scot/designation/LB16578,2026-07-30T09:49:59.991Z,Historic Environment Scotland
kincardine-on-forth-scotland,Kincardine-on-Forth,inside_locality,LB16579,curated:hes-lb16579,38 Keith Street,Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category B,Listed Building,Listed Building,-3.7207795910532733,56.06704873028243,high,Lintel dated 1775,documented_construction,high,https://portal.historicenvironment.scot/designation/LB16579,2026-07-30T09:49:59.991Z,Historic Environment Scotland
kincardine-on-forth-scotland,Kincardine-on-Forth,inside_locality,LB16580,curated:hes-lb16580,"42 and 48 Grangeview, Keith Street",Officially designated historic asset. Refresh the linked HES record for current designation details and supplementary description.,Category C,Listed Building,Listed Building,-3.7209353279871036,56.066938725095895,high,Late 18th century,estimated_from_authoritative_source,high,https://portal.historicenvironment.scot/designation/LB16580,2026-07-30T09:49:59.991Z,Historic Environment Scotland
