project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
kirknewton-scotland,Kirknewton,inside_locality,LB7348,hes-listed-building:LB7348,"Gate-Lodges, Kirknewton House","LODGES, 19 AND 21 WHITEMOSS ROAD, AND GATE, KIRKNEWTON VILLAGE",Category B,Listed Building,Listed Building,-3.4192774489374274,55.88620086097802,high,19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7348,2026-08-01T00:14:13.604Z,Historic Environment Scotland
kirknewton-scotland,Kirknewton,inside_locality,LB7351,hes-listed-building:LB7351,"Dr. Cullen Burial Enclosure, Kirknewton Burial Ground",DR. CULLEN BURIAL ENCLOSURE,Category B,Listed Building,Listed Building,-3.4175636854880627,55.88743370164716,high,Dated 1864,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7351,2026-08-01T00:14:13.604Z,Historic Environment Scotland
kirknewton-scotland,Kirknewton,inside_locality,LB7352,hes-listed-building:LB7352,Hill House,HILL HOUSE,Category B,Listed Building,Listed Building,-3.41149731120797,55.88945334669652,high,Later 18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7352,2026-08-01T00:14:13.604Z,Historic Environment Scotland
kirknewton-scotland,Kirknewton,heritage_buffer,LB7353,hes-listed-building:LB7353,"Farmhouse, Easter Newton",EASTER NEWTON FARM-HOUSE,Category B,Listed Building,Listed Building,-3.404011683371095,55.888056293876595,high,17th (?) century,estimated_from_authoritative_source,low,https://portal.historicenvironment.scot/designation/LB7353,2026-08-01T00:14:13.604Z,Historic Environment Scotland
kirknewton-scotland,Kirknewton,heritage_buffer,LB7357,hes-listed-building:LB7357,Milrig,MILLRIGG FARMHOUSE,Category B,Listed Building,Listed Building,-3.4401960644177354,55.89067546683284,high,Later 18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7357,2026-08-01T00:14:13.604Z,Historic Environment Scotland
kirknewton-scotland,Kirknewton,heritage_buffer,LB7360,hes-listed-building:LB7360,Ormiston Mains,"LEYDEN ROAD, ORMISTON MAINS STEADING",Category C,Listed Building,Listed Building,-3.4406685977332803,55.88832461933831,high,Circa 1800,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7360,2026-08-01T00:14:13.604Z,Historic Environment Scotland
kirknewton-scotland,Kirknewton,heritage_buffer,LB7362,hes-listed-building:LB7362,Kirknewton House,KIRKNEWTON HOUSE,Category B,Listed Building,Listed Building,-3.4157964141607176,55.883248658749025,high,"c.1690, altered c.1835 and c.1870",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7362,2026-08-01T00:14:13.604Z,Historic Environment Scotland
kirknewton-scotland,Kirknewton,inside_locality,LB7381,hes-listed-building:LB7381,"Sawmill House, 5 Whitemoss Road, Kirknewton","'SAWMILL HOUSE', 5 WHITEMOSS ROAD.",Category C,Listed Building,Listed Building,-3.419746015245499,55.88721085994618,high,18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7381,2026-08-01T00:14:13.604Z,Historic Environment Scotland
kirknewton-scotland,Kirknewton,inside_locality,LB7382,hes-listed-building:LB7382,"22 Main Street, Kirknewton","14, 16, 18, 20, 22 AND 24 MAIN STREET",Category C,Listed Building,Listed Building,-3.418787174868693,55.88766222326655,high,18th and 19th centuries,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7382,2026-08-01T00:14:13.604Z,Historic Environment Scotland
kirknewton-scotland,Kirknewton,inside_locality,LB7383,hes-listed-building:LB7383,"2-4 Smithy Brae, Kirknewton","2, 4 SMITHYBRAE",Category C,Listed Building,Listed Building,-3.418635141285993,55.88743932903382,high,18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7383,2026-08-01T00:14:13.604Z,Historic Environment Scotland
