project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
kirriemuir-scotland,Kirriemuir,inside_locality,LB11678,hes-listed-building:LB11678,Kinnordy East Lodge,KINNORDY - EAST LODGE,Category C,Listed Building,Listed Building,-3.0165004557904505,56.67882715081555,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB11678,2026-08-01T10:01:11.633Z,Historic Environment Scotland
kirriemuir-scotland,Kirriemuir,inside_locality,LB11679,hes-listed-building:LB11679,"Gates, East Lodge, Kinnordy",KINNORDY - EAST LODGE GATES,Category C,Listed Building,Listed Building,-3.0163994016154,56.678711180492925,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB11679,2026-08-01T10:01:11.633Z,Historic Environment Scotland
kirriemuir-scotland,Kirriemuir,inside_locality,LB36810,hes-listed-building:LB36810,"Old Parish Church, High Street, Kirriemuir","KIRRIEMUIR BARONY PARISH CHURCH, HIGH STREET AND BANK STREET",Category B,Listed Building,Listed Building,-3.003399886354363,56.6729049813933,high,James Playfair 1786-8,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB36810,2026-08-01T10:01:11.633Z,Historic Environment Scotland
kirriemuir-scotland,Kirriemuir,inside_locality,LB36811,hes-listed-building:LB36811,"Churchyard, Old Parish Church, High Street, Kirriemuir","KIRRIEMUIR BARONY PARISH CHURCHYARD, HIGH STREET AND BANK STREET",Category C,Listed Building,Listed Building,-3.0028463496422404,56.67295436215251,high,Monuments from 17th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB36811,2026-08-01T10:01:11.633Z,Historic Environment Scotland
kirriemuir-scotland,Kirriemuir,inside_locality,LB36812,hes-listed-building:LB36812,"Town House, 31 High Street, Kirriemuir",TOWN HOUSE 31 HIGH STREET,Category B,Listed Building,Listed Building,-3.0041331318229245,56.67286313325838,high,"Originally 1604, remodelled John Carver 1862",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB36812,2026-08-01T10:01:11.633Z,Historic Environment Scotland
kirriemuir-scotland,Kirriemuir,inside_locality,LB36813,hes-listed-building:LB36813,"1, 2 High Street, Kirriemuir","1, 2 HIGH STREET",Category C,Listed Building,Listed Building,-3.005177520680442,56.67347461900824,high,"Early 19th century, recently renovated 2-storey coursed red",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB36813,2026-08-01T10:01:11.633Z,Historic Environment Scotland
kirriemuir-scotland,Kirriemuir,inside_locality,LB36814,hes-listed-building:LB36814,"3, 4, 5 High Street, Kirriemuir","3, 4, 5 HIGH STREET",Category B,Listed Building,Listed Building,-3.0050484293909143,56.673529566533325,high,Early 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB36814,2026-08-01T10:01:11.633Z,Historic Environment Scotland
kirriemuir-scotland,Kirriemuir,inside_locality,LB36815,hes-listed-building:LB36815,"Ogilvy Arms Hotel, 6, 7 High Street, Kirriemuir","OGILVY ARMS HOTEL 6, 7, 8 HIGH STREET",Category C,Listed Building,Listed Building,-3.004902065086902,56.67354871636351,high,"Circa 1900, 2-storey 3-window red ashlar with buff dressings,",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB36815,2026-08-01T10:01:11.633Z,Historic Environment Scotland
kirriemuir-scotland,Kirriemuir,inside_locality,LB36816,hes-listed-building:LB36816,"9, 10 High Street, Kirriemuir","9, 10 HIGH STREET",Category C,Listed Building,Listed Building,-3.004474744481127,56.67343536927094,high,"Late 19th century, former hotel, 3-storey ashlar fronted",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB36816,2026-08-01T10:01:11.633Z,Historic Environment Scotland
kirriemuir-scotland,Kirriemuir,inside_locality,LB36817,hes-listed-building:LB36817,"14-15 High Street, Kirriemuir",11-15 HIGH STREET,Category C,Listed Building,Listed Building,-3.004405417021658,56.673283196437474,high,Late 18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB36817,2026-08-01T10:01:11.633Z,Historic Environment Scotland
