project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
linlithgow-scotland,Linlithgow,inside_locality,LB7474,hes-listed-building:LB7474,"Burgh Mills House, Burgh Mills Lane, Linlithgow Bridge","BURGH MILL LANE, BURGH MILL HOUSE AND ADJOINING OUTBUILDING",Category C,Listed Building,Listed Building,-3.6311461610632763,55.97465885575544,high,Late 18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7474,2026-07-31T22:47:50.134Z,Historic Environment Scotland
linlithgow-scotland,Linlithgow,heritage_buffer,LB7475,hes-listed-building:LB7475,Burghmuir Steading,BURGHMUIR FARMHOUSE AND STEADING WITH HORSEMILL,Category C,Listed Building,Listed Building,-3.569319710566412,55.98492390558792,high,Farm steading complex dating from the late 18th to early 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7475,2026-07-31T22:47:50.134Z,Historic Environment Scotland
linlithgow-scotland,Linlithgow,inside_locality,LB7483,hes-listed-building:LB7483,"Longcroft House, Longcroft Gardens, Linlithgow","FALKIRK ROAD, LONGCROFT HOUSE",Category B,Listed Building,Listed Building,-3.617348493768269,55.9777342193639,high,"Probably David Bryce, circa 1850, additions circa 1868",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7483,2026-07-31T22:47:50.134Z,Historic Environment Scotland
linlithgow-scotland,Linlithgow,inside_locality,LB12976,hes-listed-building:LB12976,"Chalmers Cottages, 6 Main Street, Linlithgow Bridge","LINLITHGOW BRIDGE, 2-14 (EVEN  NOS) MAIN STREET, CHALMERS COTTAGES",Category B,Listed Building,Listed Building,-3.6261147307068744,55.976199064633974,high,"Sir Robert Lorimer, 1907",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB12976,2026-07-31T22:47:50.134Z,Historic Environment Scotland
linlithgow-scotland,Linlithgow,inside_locality,LB12977,hes-listed-building:LB12977,"Chalmers Hall, Main Street, Linlithgow Bridge","LINLITHGOW BRIDGE, MAIN STREET, PUBLIC HALL (COMMUNITY CENTRE)",Category B,Listed Building,Listed Building,-3.6263849437576376,55.975764167758584,high,"Sir Robert Lorimer, 1907",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB12977,2026-07-31T22:47:50.134Z,Historic Environment Scotland
linlithgow-scotland,Linlithgow,inside_locality,LB12983,hes-listed-building:LB12983,"Preston House, Preston Road, Linlithgow",PRESTON HOUSE INCLUDING SCREEN WALL AND COACH ARCHWAY,Category A,Listed Building,Listed Building,-3.6103170774696314,55.965111043974346,high,"William Burn and David Bryce, 1844",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB12983,2026-07-31T22:47:50.134Z,Historic Environment Scotland
linlithgow-scotland,Linlithgow,inside_locality,LB12984,hes-listed-building:LB12984,"Lodge, Preston House, Preston Road, Linlithgow",PRESTON HOUSE LODGE WITH GATES AND GATEPIERS,Category B,Listed Building,Listed Building,-3.605029843534482,55.96626733994565,high,"Atributed to David bryce, circa 1844",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB12984,2026-07-31T22:47:50.134Z,Historic Environment Scotland
linlithgow-scotland,Linlithgow,heritage_buffer,LB12985,hes-listed-building:LB12985,"Avon Viaduct, River Avon, Linlithgow","RIVER AVON, EDINBURGH TO GLASGOW RAILWAY VIADUCT",Category A,Listed Building,Listed Building,-3.6334399189423285,55.97470934845143,high,"Grainger and Miller engineers, 1842",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB12985,2026-07-31T22:47:50.134Z,Historic Environment Scotland
linlithgow-scotland,Linlithgow,heritage_buffer,LB15325,hes-listed-building:LB15325,"Bridge Inn, Linlithgow Bridge","COTTAGES AND PUBLIC HOUSE, LINLITHGOW BRIDGE.",Category B,Listed Building,Listed Building,-3.6313352760744184,55.97686692642675,high,18th century - 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB15325,2026-07-31T22:47:50.134Z,Historic Environment Scotland
linlithgow-scotland,Linlithgow,heritage_buffer,LB15326,hes-listed-building:LB15326,Avon Viaduct,AVON VIADUCT,Category A,Listed Building,Listed Building,-3.635306923024149,55.97490025345239,medium,Opened 1842,documented_construction,high,https://portal.historicenvironment.scot/designation/LB15326,2026-07-31T22:47:50.134Z,Historic Environment Scotland
