project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
livingston-scotland,Livingston,inside_locality,LB7405,hes-listed-building:LB7405,"Morven Cottage, 19 Main Street, Livingston Village",MORVEN AND ADJOINING HEATHER COTTAGE  19 AND 21 MAIN STREET,Category C,Listed Building,Listed Building,-3.538606609622984,55.88557576348511,high,Probably 19th century,estimated_from_authoritative_source,low,https://portal.historicenvironment.scot/designation/LB7405,2026-07-31T23:34:00.395Z,Historic Environment Scotland
livingston-scotland,Livingston,inside_locality,LB7406,hes-listed-building:LB7406,"Post Office, Main Street, Livingston Village","ALMOND BANK (J H SHIELDS) WITH SUB POST OFFICE, MAIN STREET",Category C,Listed Building,Listed Building,-3.538748300991874,55.88552007588225,high,Probably 19th century,estimated_from_authoritative_source,low,https://portal.historicenvironment.scot/designation/LB7406,2026-07-31T23:34:00.395Z,Historic Environment Scotland
livingston-scotland,Livingston,inside_locality,LB7407,hes-listed-building:LB7407,"Bezu, 11 Main Street, Livingston Village","""BEZU"" 11 MAIN STREET",Category C,Listed Building,Listed Building,-3.5389887186270843,55.885535042065285,high,Probably 19th century,estimated_from_authoritative_source,low,https://portal.historicenvironment.scot/designation/LB7407,2026-07-31T23:34:00.395Z,Historic Environment Scotland
livingston-scotland,Livingston,inside_locality,LB7408,hes-listed-building:LB7408,"9 Main Street, Livingston Village","ALDERSTON COTTAGE OR BLOOM COTTAGE NOS 2, 7 AND 9 MAIN STREET",Category C,Listed Building,Listed Building,-3.539209600251217,55.885460391624015,high,,unknown,unknown,https://portal.historicenvironment.scot/designation/LB7408,2026-07-31T23:34:00.395Z,Historic Environment Scotland
livingston-scotland,Livingston,inside_locality,LB7409,hes-listed-building:LB7409,"Livingston Parish Church, Kirk Lane, Livingston Village","LIVINGSTON VILLAGE, LIVINGSTON PARISH KIRK.",Category B,Listed Building,Listed Building,-3.5409045907721564,55.88546614113713,high,1732,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7409,2026-07-31T23:34:00.395Z,Historic Environment Scotland
livingston-scotland,Livingston,inside_locality,LB7410,hes-listed-building:LB7410,"Manse, Livingston Parish Church, Kirk Lane, Livingston Village",LIVINGSTON MANSE,Category B,Listed Building,Listed Building,-3.5404525132463815,55.885354981421926,high,1803,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7410,2026-07-31T23:34:00.395Z,Historic Environment Scotland
livingston-scotland,Livingston,inside_locality,LB7411,hes-listed-building:LB7411,"5 Main Street, Livingston Village","5 HOUSES. KNOWN AS THE OLD SCHOOL HOUSE AND THE DANDERS, 1 MAIN STREET",Category C,Listed Building,Listed Building,-3.539767136071156,55.88540848777429,medium,18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7411,2026-07-31T23:34:00.395Z,Historic Environment Scotland
livingston-scotland,Livingston,inside_locality,LB7412,hes-listed-building:LB7412,"Bloom Cottage, 5 Main Street, Livingston Village",BLOOM COTTAGE 3 AND 5 MAIN STREET,Category C,Listed Building,Listed Building,-3.539687945497045,55.88542745053317,medium,19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7412,2026-07-31T23:34:00.395Z,Historic Environment Scotland
livingston-scotland,Livingston,inside_locality,LB7413,hes-listed-building:LB7413,"Livingston Inn, Main Street, Livingston Village",LIVINGSTON INN,Category B,Listed Building,Listed Building,-3.539728798605982,55.8856515906608,high,18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7413,2026-07-31T23:34:00.395Z,Historic Environment Scotland
livingston-scotland,Livingston,inside_locality,LB7414,hes-listed-building:LB7414,"Livingston Bridge, River Almond, Livingston Village","LIVINGSTON BRIDGE, RIVER ALMOND",Category B,Listed Building,Listed Building,-3.5390494033379976,55.88464466459764,high,18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB7414,2026-07-31T23:34:00.395Z,Historic Environment Scotland
