project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
south-queensferry-scotland,South Queensferry,inside_locality,LB81,hes-listed-building:LB81,"4 Wester Dalmeny Farm Cottages, Main St, Dalmeny","DALMENY VILLAGE,  4 WESTER DALMENY",Category C,Listed Building,Listed Building,-3.3737126305912004,55.9825776372238,high,Mid 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB81,2026-08-01T06:45:44.367Z,Historic Environment Scotland
south-queensferry-scotland,South Queensferry,heritage_buffer,LB5506,hes-listed-building:LB5506,"Leuchold Gatelodge, Dalmeny House, Edinburgh","DALMENY HOUSE, LEUCHOLD GATE LODGE, INCLUDING GATEPIERS",Category B,Listed Building,Listed Building,-3.3670855519214684,55.9873598038783,high,"Probably William Wilkins, circa 1825, re-working earlier cottage",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5506,2026-08-01T06:45:44.367Z,Historic Environment Scotland
south-queensferry-scotland,South Queensferry,inside_locality,LB5507,hes-listed-building:LB5507,"Long Craig Gatelodge, Dalmeny House, Edinburgh","DALMENY HOUSE, LONGCRAIG GATE LODGE",Category C,Listed Building,Listed Building,-3.3732308456473072,55.99340174020391,high,Earlier 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5507,2026-08-01T06:45:44.367Z,Historic Environment Scotland
south-queensferry-scotland,South Queensferry,heritage_buffer,LB5510,hes-listed-building:LB5510,"New Halls Gatelodge, Dalmeny House, Edinburgh","DALMENY HOUSE, NEWHALLS GATE LODGE",Category C,Listed Building,Listed Building,-3.374644845417392,55.98897402271472,high,"Style of William Burn, earlier 19th century",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5510,2026-08-01T06:45:44.367Z,Historic Environment Scotland
south-queensferry-scotland,South Queensferry,inside_locality,LB5511,hes-listed-building:LB5511,Dalmeny Station,"DALMENY STATION, INCLUDING BOOKING OFFICE, WAITING ROOMS, CANOPY, PLATFORMS AND FENCING",Category B,Listed Building,Listed Building,-3.381617000037052,55.98624529891269,high,Opened 1890,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5511,2026-08-01T06:45:44.367Z,Historic Environment Scotland
south-queensferry-scotland,South Queensferry,heritage_buffer,LB5517,hes-listed-building:LB5517,"North Gate-Lodge, Dundas Castle","DUNDAS CASTLE, NORTH LODGE, INCLUDING GATES AND GATEPIERS, RAILINGS AND WALLS",Category B,Listed Building,Listed Building,-3.3974163336072767,55.97808788800234,high,"William Burn, circa 1820",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5517,2026-08-01T06:45:44.367Z,Historic Environment Scotland
south-queensferry-scotland,South Queensferry,heritage_buffer,LB5520,hes-listed-building:LB5520,Newbigging Steading,6-18 (INCLUSIVE NUMBERS) DUNDAS HOME FARM (FORMERLY NEWBIGGING STEADING),Category B,Listed Building,Listed Building,-3.401362895923004,55.97864511946078,high,"Dated 1881, single storey and attic, courtyard-plan, former farm steading, flanked by tall, linear range of implement shed to the west and single storey, rectangular-plan cowshed to the east (built before 1914)",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5520,2026-08-01T06:45:44.367Z,Historic Environment Scotland
south-queensferry-scotland,South Queensferry,heritage_buffer,LB5521,hes-listed-building:LB5521,Newbigging Farmhouse,"DUNDAS HOME FARM (FORMERLY NEWBIGGING FARMHOUSE) , INCLUDING RAILINGS AND BOUNDARY WALLS",Category C,Listed Building,Listed Building,-3.4004000842276723,55.978611134732844,high,Earlier 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5521,2026-08-01T06:45:44.367Z,Historic Environment Scotland
south-queensferry-scotland,South Queensferry,inside_locality,LB5522,hes-listed-building:LB5522,"Bee Bole Wall, Newgardens","NEWGARDENS, BEE BOLE WALL",Category B,Listed Building,Listed Building,-3.3762984745990203,55.98723930859905,high,Probably 18th century in origin; wall-mounted panel dated 1764,estimated_from_authoritative_source,low,https://portal.historicenvironment.scot/designation/LB5522,2026-08-01T06:45:44.367Z,Historic Environment Scotland
south-queensferry-scotland,South Queensferry,inside_locality,LB5526,hes-listed-building:LB5526,"Gospatric House, Main Street, Dalmeny","DALMENY VILLAGE, MAIN STREET, GOSPATRIC HOUSE, INCLUDING TERRACE WALLS, GARDEN WALLS AND GATEPIERS",Category C,Listed Building,Listed Building,-3.373232517506901,55.98305024202515,high,Earlier to mid 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5526,2026-08-01T06:45:44.367Z,Historic Environment Scotland
south-queensferry-scotland,South Queensferry,inside_locality,LB5528,hes-listed-building:LB5528,"2 Easter Dalmeny Cottages, Main Street, Dalmeny","DALMENY VILLAGE, 1 AND 2 EASTER DALMENY",Category C,Listed Building,Listed Building,-3.3724745105296496,55.98246563104524,high,Earlier 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5528,2026-08-01T06:45:44.367Z,Historic Environment Scotland
south-queensferry-scotland,South Queensferry,inside_locality,LB5529,hes-listed-building:LB5529,"3 Easter Dalmeny Cottages, Main Street, Dalmeny","DALMENY VILLAGE, 3 EASTER DALMENY",Category B,Listed Building,Listed Building,-3.372665814622776,55.98243654365125,high,Dated 1772(?) on SE skewputt,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5529,2026-08-01T06:45:44.367Z,Historic Environment Scotland
south-queensferry-scotland,South Queensferry,inside_locality,LB5530,hes-listed-building:LB5530,"2 Wester Dalmeny Farm Cottages, Main Street, Dalmeny",DALMENY VILLAGE 1 AND 2 WESTER DALMENY,Category C,Listed Building,Listed Building,-3.37404653571906,55.98250202991148,high,Mid 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB5530,2026-08-01T06:45:44.367Z,Historic Environment Scotland
