project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
tillicoultry-scotland,Tillicoultry,inside_locality,LB15165,curated:hes-lb15165,Tillicoultry Mains Steading,Carefully designed early-Victorian estate steading.,Category B,Listed Building,Listed Building,-3.7275641797849004,56.15688638580871,high,Circa 1837–1838,documented_date_range,high,https://portal.historicenvironment.scot/designation/LB15165,2026-07-29,Historic Environment Scotland
tillicoultry-scotland,Tillicoultry,inside_locality,LB42048,curated:hes-lb42048,"Parish Church of St Serf, Dollar Road","Principal historic parish church, incorporating an earlier bell.",Category B,Listed Building,Listed Building,-3.7351415287312255,56.152457930872586,medium,Built 1827–1829; hall added 1889; interior recast 1920; bell dated 1670,documented_date_range,high,https://portal.historicenvironment.scot/designation/LB42048,2026-07-29,Historic Environment Scotland
tillicoultry-scotland,Tillicoultry,inside_locality,LB42049,curated:hes-lb42049,Tillicoultry Manse,Early-19th-century manse with later alterations.,Category C,Listed Building,Listed Building,-3.7348276311343307,56.151923178096965,high,1811 and later,documented_date_range,high,https://portal.historicenvironment.scot/designation/LB42049,2026-07-29,Historic Environment Scotland
tillicoultry-scotland,Tillicoultry,inside_locality,LB42050,curated:hes-lb42050,"Tower of Former Popular Institute, Ochil Street",Surviving clock tower and gable of the former Popular Institute.,Category B,Listed Building,Listed Building,-3.7454857738406346,56.155124844119364,high,Clock tower added in 1879; former Popular Institute built 1859 and demolished 1986,documented_construction,high,https://portal.historicenvironment.scot/designation/LB42050,2026-07-29,Historic Environment Scotland
tillicoultry-scotland,Tillicoultry,inside_locality,LB42051,curated:hes-lb42051,"99 High Street, Former Municipal Buildings and Library",Classical early-19th-century civic building later used as municipal offices and library.,Category C,Listed Building,Listed Building,-3.7437908642865816,56.15325272575924,high,Circa 1830 in its present form,estimated_from_authoritative_source,high,https://portal.historicenvironment.scot/designation/LB42051,2026-07-29,Historic Environment Scotland
tillicoultry-scotland,Tillicoultry,inside_locality,LB42052,curated:hes-lb42052,Former West Church,Mid-19th-century former church.,Category C,Listed Building,Listed Building,-3.7449067551790205,56.153362774845235,high,1840,documented_construction,high,https://portal.historicenvironment.scot/designation/LB42052,2026-07-29,Historic Environment Scotland
tillicoultry-scotland,Tillicoultry,inside_locality,LB42053,curated:hes-lb42053,Tillicoultry House Stable Block,Principal surviving service building of the former Tillicoultry House estate.,Category B,Listed Building,Listed Building,-3.7337830936238574,56.15839878282397,high,Early 19th century,documented_date_range,high,https://portal.historicenvironment.scot/designation/LB42053,2026-07-29,Historic Environment Scotland
tillicoultry-scotland,Tillicoultry,inside_locality,LB42054,curated:hes-lb42054,"Clock Mill, Upper Mill Street",Landmark early industrial mill building.,Category B,Listed Building,Listed Building,-3.7495670861744346,56.15742145801136,high,Dated 1824,documented_construction,high,https://portal.historicenvironment.scot/designation/LB42054,2026-07-29,Historic Environment Scotland
tillicoultry-scotland,Tillicoultry,inside_locality,LB42055,curated:hes-lb42055,Bridge over Tillicoultry Burn at Clock Mill,Stone bridge associated with the Clock Mill and burnside industry.,Category B,Listed Building,Listed Building,-3.7494230798934556,56.15744146920034,high,"Probably early 19th century, likely associated with the 1824 Clock Mill",estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB42055,2026-07-29,Historic Environment Scotland
tillicoultry-scotland,Tillicoultry,inside_locality,LB42056,curated:hes-lb42056,"Old Churchyard, Tillicoultry House",Old parish churchyard containing early gravestones and the pre-Reformation church site.,Category B,Listed Building,Listed Building,-3.7340720356444908,56.15873619615107,medium,Church site from the 12th century; 16th- and 17th-century stones include a headstone dated 1723,documented_date_range,high,https://portal.historicenvironment.scot/designation/LB42056,2026-07-29,Historic Environment Scotland
tillicoultry-scotland,Tillicoultry,inside_locality,LB42057,curated:hes-lb42057,"Beechwood, Dollar Road",Substantial mid-Victorian villa.,Category B,Listed Building,Listed Building,-3.7372240838921265,56.15294086757806,high,Circa 1860,estimated_from_authoritative_source,high,https://portal.historicenvironment.scot/designation/LB42057,2026-07-29,Historic Environment Scotland
tillicoultry-scotland,Tillicoultry,inside_locality,LB42058,curated:hes-lb42058,"Former J & D Paton's Woollen Mill, Weavers Way",Major surviving element of Tillicoultry's woollen industry.,Category B,Listed Building,Listed Building,-3.7489319866699136,56.152658863549206,high,Firm founded 1824; mill begun 1836; converted to housing in the late 1980s,documented_date_range,high,https://portal.historicenvironment.scot/designation/LB42058,2026-07-29,Historic Environment Scotland
tillicoultry-scotland,Tillicoultry,inside_locality,LB50034,curated:hes-lb50034,"Devonvale Hall, including Gatepiers",Intact Art Deco entertainment hall associated with the Devonvale Mills welfare programme.,Category B,Listed Building,Listed Building,-3.7384283721614153,56.15073133798056,high,Designed and built 1938–1940,documented_date_range,high,https://portal.historicenvironment.scot/designation/LB50034,2026-07-29,Historic Environment Scotland
