project_id,town,feature_id,feature_name,alternative_names,feature_type,designation_type,statutory_status,evidence_scope,geometry_type,longitude,latitude,location_type,location_confidence,current_date_text,current_date_basis,current_date_confidence,published_review_status,primary_source_organisation,primary_source_name,primary_source_record_id,primary_source_url,source_accessed_at,all_source_record_ids,review_notes,review_action
tillicoultry-scotland,Tillicoultry,nrhe:48292,"ALVA GLEN, LADY'S WELL",TILLICOULTRY,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.754705209687958,56.15760249640847,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,48292,https://www.trove.scot/place/48292,2026-07-30T09:59:39.814Z,48292,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
tillicoultry-scotland,Tillicoultry,nrhe:255443,BACKHILL,NEW BACKHILL,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7549823369627333,56.2120081413194,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,255443,https://www.trove.scot/place/255443,2026-07-30T09:59:39.814Z,255443,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
tillicoultry-scotland,Tillicoultry,nrhe:111933,BALHEARTY, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.711832798837765,56.14580348921571,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,111933,https://www.trove.scot/place/111933,2026-07-30T09:59:39.814Z,111933,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
tillicoultry-scotland,Tillicoultry,nrhe:111934,BALHEARTY, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7174992016816133,56.14653356531706,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,111934,https://www.trove.scot/place/111934,2026-07-30T09:59:39.814Z,111934,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
tillicoultry-scotland,Tillicoultry,nrhe:285655,"BEN CLEUCH, OCHIL HILLS, GENERAL", ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.768982616693166,56.184446484750836,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,285655,https://www.trove.scot/place/285655,2026-07-30T09:59:39.814Z,285655,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
tillicoultry-scotland,Tillicoultry,nrhe:361873,BLACKHALL, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.761813023274191,56.20871201669923,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,361873,https://www.trove.scot/place/361873,2026-07-30T09:59:39.814Z,361873,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
tillicoultry-scotland,Tillicoultry,nrhe:361872,BLACKHILL, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7591084276619355,56.20950534312362,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,361872,https://www.trove.scot/place/361872,2026-07-30T09:59:39.814Z,361872,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
tillicoultry-scotland,Tillicoultry,nrhe:219135,BROICH BURN, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.757397529028573,56.216511708681374,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,219135,https://www.trove.scot/place/219135,2026-07-30T09:59:39.814Z,219135,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
tillicoultry-scotland,Tillicoultry,nrhe:111925,CASTLE CRAIG, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7544694186881693,56.15949288458035,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,111925,https://www.trove.scot/place/111925,2026-07-30T09:59:39.814Z,111925,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
tillicoultry-scotland,Tillicoultry,nrhe:106443,COALSNAUGHTON, ,archaeological_site,NRHE / trove.scot record,,parish_evidence,Point,-3.7099223454725316,56.14627924162598,site_centroid,medium,,unknown,unknown,unreviewed,Historic Environment Scotland,Historic Environment Scotland NRHE / trove.scot Points GIS,106443,https://www.trove.scot/place/106443,2026-07-30T09:59:39.814Z,106443,Imported from the official NRHE spatial index. This GIS record does not provide a construction date; review the linked trove.scot record before adding timeline evidence.,Check the linked source for an explicit date or supported date range; do not infer a construction date from a current map or generic classification.
