project_id,town,selection_class,hes_designation_reference,feature_id,listed_building_title,statutory_title,category,designation_type,statutory_status,longitude,latitude,location_precision,documented_date,date_basis,date_confidence,source_url,source_accessed_at,source_attribution
torphichen-scotland,Torphichen,inside_locality,LB14533,hes-listed-building:LB14533,Torphichen Preceptory And Torphichen Parish Church,TORPHICHEN KIRK,Category B,Listed Building,Listed Building,-3.652194816958107,55.93460581132091,medium,1756,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14533,2026-08-01T00:02:07.698Z,Historic Environment Scotland
torphichen-scotland,Torphichen,inside_locality,LB14534,hes-listed-building:LB14534,"Gatehouse, Churchyard, Torphichen Parish Church",GATE-HOUSE TORPHICHEN KIRKYARD,Category B,Listed Building,Listed Building,-3.6530972383337765,55.93436904819499,high,1772,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14534,2026-08-01T00:02:07.698Z,Historic Environment Scotland
torphichen-scotland,Torphichen,inside_locality,LB14535,hes-listed-building:LB14535,"Jubilee Well, The Square, Torphichen","JUBILEE WELL, THE SQUARE.",Category C,Listed Building,Listed Building,-3.654231523023306,55.93356303577525,high,Dated 1897,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14535,2026-08-01T00:02:07.698Z,Historic Environment Scotland
torphichen-scotland,Torphichen,inside_locality,LB14536,hes-listed-building:LB14536,"North Side, The Square, Torphichen","COTTAGES, THE SQUARE, N. SIDE",Category C,Listed Building,Listed Building,-3.6542848806538686,55.93368812545274,high,Earlier 19th (?) century,estimated_from_authoritative_source,low,https://portal.historicenvironment.scot/designation/LB14536,2026-08-01T00:02:07.698Z,Historic Environment Scotland
torphichen-scotland,Torphichen,inside_locality,LB14537,hes-listed-building:LB14537,"West Side, The Square, Torphichen","HOUSE, THE SQUARE, W SIDE",Category C,Listed Building,Listed Building,-3.654625761997729,55.93342294742022,high,Dated 1802,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14537,2026-08-01T00:02:07.698Z,Historic Environment Scotland
torphichen-scotland,Torphichen,inside_locality,LB14538,hes-listed-building:LB14538,"'Rose Cottage', Torphichen",ROSE COTTAGE (OLD SMIDDY) OFF THE SQUARE,Category C,Listed Building,Listed Building,-3.6550585949883008,55.93381252317001,high,Circa 1800,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14538,2026-08-01T00:02:07.698Z,Historic Environment Scotland
torphichen-scotland,Torphichen,inside_locality,LB14539,hes-listed-building:LB14539,"Hill House, High Brae, Torphichen","HILL HOUSE, HIGH BRAE",Category C,Listed Building,Listed Building,-3.654431311591747,55.93261680438785,high,18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14539,2026-08-01T00:02:07.698Z,Historic Environment Scotland
torphichen-scotland,Torphichen,inside_locality,LB14540,hes-listed-building:LB14540,"Viewforth, High Brae, Torphichen",'VIEWFORTH' HIGH BRAE,Category B,Listed Building,Listed Building,-3.6548114561401905,55.932521835530224,high,Early 19th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14540,2026-08-01T00:02:07.698Z,Historic Environment Scotland
torphichen-scotland,Torphichen,inside_locality,LB14541,hes-listed-building:LB14541,"Sundial, Rosebank, Torphichen",SUNDIAL,Category B,Listed Building,Listed Building,-3.6549736565189264,55.9321961538818,high,Dated 1660,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14541,2026-08-01T00:02:07.698Z,Historic Environment Scotland
torphichen-scotland,Torphichen,inside_locality,LB14542,hes-listed-building:LB14542,"Free Church, Manse Road, Torphichen",TORPHICHEN FREE CHURCH (NOW CHURCH HALL),Category C,Listed Building,Listed Building,-3.656443723716104,55.93250887920847,high,Dated 1843,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14542,2026-08-01T00:02:07.698Z,Historic Environment Scotland
torphichen-scotland,Torphichen,heritage_buffer,LB14549,hes-listed-building:LB14549,"Dovecot, Wallhouse",DOOCOT WALLHOUSE POLICIES,Category B,Listed Building,Listed Building,-3.6644703908926,55.9352762414445,high,18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14549,2026-08-01T00:02:07.698Z,Historic Environment Scotland
torphichen-scotland,Torphichen,inside_locality,LB14550,hes-listed-building:LB14550,Broomparkwell Cottage,"COTTAGES, BROOMPARKWELL",Category C,Listed Building,Listed Building,-3.666667692755729,55.930897210934,high,18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB14550,2026-08-01T00:02:07.698Z,Historic Environment Scotland
torphichen-scotland,Torphichen,inside_locality,LB18189,hes-listed-building:LB18189,"Ivy Cottage, Low Brae, Torphichen","LOW BRAE, IVY COTTAGE",Category C,Listed Building,Listed Building,-3.655835766960715,55.93251705447114,high,18th century,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB18189,2026-08-01T00:02:07.698Z,Historic Environment Scotland
torphichen-scotland,Torphichen,heritage_buffer,LB19704,hes-listed-building:LB19704,Wallhouse,WALLHOUSE,Category B,Listed Building,Listed Building,-3.6647599740049106,55.933816565655846,high,Earlier 19th century central block; 1855 end wings and rear tower,estimated_from_authoritative_source,medium,https://portal.historicenvironment.scot/designation/LB19704,2026-08-01T00:02:07.698Z,Historic Environment Scotland
