feature_id,town,name,category,osm_url,website,wikipedia,osm_description,osm_opening_hours,curated_summary,curated_opening_hours,rating,rating_provider,rating_source_url,rating_accessed_at,review_status
osm-community:way-318390943,Alloa,Alba Claremont,cafe,https://www.openstreetmap.org/way/318390943,,,,,,,,,,,needs_source_review
osm-community:node-1861230548,Alloa,Alloa Dock,leisure,https://www.openstreetmap.org/node/1861230548,,,,,,,,,,,needs_source_review
osm-community:node-4884199852,Alloa,Alloa Mercat Cross,poi,https://www.openstreetmap.org/node/4884199852,,,,,,,,,,,needs_source_review
osm-community:node-13654715144,Alloa,Aroma Italia,cafe,https://www.openstreetmap.org/node/13654715144,,,,,,,,,,,needs_source_review
osm-community:node-5319141614,Alloa,Artwork,poi,https://www.openstreetmap.org/node/5319141614,,,,,,,,,,,needs_source_review
osm-community:node-5319143513,Alloa,Artwork,poi,https://www.openstreetmap.org/node/5319143513,,,,,,,,,,,needs_source_review
osm-community:node-7500478539,Alloa,Asda Café,cafe,https://www.openstreetmap.org/node/7500478539,,,,Mo-Su 08:30-18:00,,,,,,,needs_source_review
osm-community:node-10657179804,Alloa,Azad Tandoori Restaurant,cafe,https://www.openstreetmap.org/node/10657179804,,,,,,,,,,,needs_source_review
osm-community:node-3249043266,Alloa,Bar Aldo's,cafe,https://www.openstreetmap.org/node/3249043266,,,,Mo-Sa 12:00-14:00,,,,,,,needs_source_review
osm-community:node-13662835229,Alloa,Bayne's,cafe,https://www.openstreetmap.org/node/13662835229,,,,,,,,,,,needs_source_review
osm-community:node-13662835228,Alloa,Bees On The Primrose,cafe,https://www.openstreetmap.org/node/13662835228,,,,,,,,,,,needs_source_review
osm-community:node-10931264786,Alloa,Bench,picnic,https://www.openstreetmap.org/node/10931264786,,,,,,,,,,,needs_source_review
osm-community:node-10931264787,Alloa,Bench,picnic,https://www.openstreetmap.org/node/10931264787,,,,,,,,,,,needs_source_review
osm-community:node-10931264788,Alloa,Bench,picnic,https://www.openstreetmap.org/node/10931264788,,,,,,,,,,,needs_source_review
osm-community:node-10931264789,Alloa,Bench,picnic,https://www.openstreetmap.org/node/10931264789,,,,,,,,,,,needs_source_review
osm-community:node-11607948718,Alloa,Bench,picnic,https://www.openstreetmap.org/node/11607948718,,,,,,,,,,,needs_source_review
osm-community:node-11607948725,Alloa,Bench,picnic,https://www.openstreetmap.org/node/11607948725,,,,,,,,,,,needs_source_review
osm-community:node-12243670440,Alloa,Bench,picnic,https://www.openstreetmap.org/node/12243670440,,,,,,,,,,,needs_source_review
osm-community:node-12243684581,Alloa,Bench,picnic,https://www.openstreetmap.org/node/12243684581,,,,,,,,,,,needs_source_review
