feature_id,town,name,category,osm_url,website,wikipedia,osm_description,osm_opening_hours,curated_summary,curated_opening_hours,rating,rating_provider,rating_source_url,rating_accessed_at,review_status
osm-community:node-5430013607,Bridge of Earn,Parking,parking,https://www.openstreetmap.org/node/5430013607,,,,,,,,,,,needs_source_review
osm-community:node-5440844860,Bridge of Earn,Parking,parking,https://www.openstreetmap.org/node/5440844860,,,,,,,,,,,needs_source_review
osm-community:way-111408024,Bridge of Earn,Parking,parking,https://www.openstreetmap.org/way/111408024,,,,,,,,,,,needs_source_review
osm-community:way-137101375,Bridge of Earn,Parking,parking,https://www.openstreetmap.org/way/137101375,,,,,,,,,,,needs_source_review
osm-community:way-147995349,Bridge of Earn,Parking,parking,https://www.openstreetmap.org/way/147995349,,,,,,,,,,,needs_source_review
osm-community:way-385332736,Bridge of Earn,Parking,parking,https://www.openstreetmap.org/way/385332736,,,,,,,,,,,needs_source_review
osm-community:way-844332625,Bridge of Earn,Parking,parking,https://www.openstreetmap.org/way/844332625,,,,,,,,,,,needs_source_review
osm-community:way-844705173,Bridge of Earn,Parking,parking,https://www.openstreetmap.org/way/844705173,,,,,,,,,,,needs_source_review
osm-community:way-916656000,Bridge of Earn,Parking,parking,https://www.openstreetmap.org/way/916656000,,,,,,,,,,,needs_source_review
osm-community:way-1020089706,Bridge of Earn,Parking,parking,https://www.openstreetmap.org/way/1020089706,,,,,,,,,,,needs_source_review
osm-community:way-1107763327,Bridge of Earn,Parking,parking,https://www.openstreetmap.org/way/1107763327,,,,,,,,,,,needs_source_review
osm-community:way-1221386720,Bridge of Earn,Parking,parking,https://www.openstreetmap.org/way/1221386720,,,,,,,,,,,needs_source_review
osm-community:way-137101374,Bridge of Earn,Playground,leisure,https://www.openstreetmap.org/way/137101374,,,,,,,,,,,needs_source_review
osm-community:way-931993901,Bridge of Earn,Playground,leisure,https://www.openstreetmap.org/way/931993901,,,,,,,,,,,needs_source_review
osm-community:way-933607435,Bridge of Earn,Playground,leisure,https://www.openstreetmap.org/way/933607435,,,,,,,,,,,needs_source_review
osm-community:node-4460996150,Bridge of Earn,Spice Garden,food,https://www.openstreetmap.org/node/4460996150,http://villagespicegarden.co.uk/.,,,,,,,,,,needs_source_review
osm-community:node-3301456255,Bridge of Earn,The Earn Coffee Shop,food,https://www.openstreetmap.org/node/3301456255,https://theearncoffeeshop.co.uk/.,,,,,,,,,,needs_source_review
osm-community:node-3886480375,Bridge of Earn,The Village Inn and Restaurant,food,https://www.openstreetmap.org/node/3886480375,,,,,,,,,,,needs_source_review
osm-community:node-4460996154,Bridge of Earn,Tower Bakery,food,https://www.openstreetmap.org/node/4460996154,,,,,,,,,,,needs_source_review
osm-community:node-3301519291,Bridge of Earn,War Memorial,memorial,https://www.openstreetmap.org/node/3301519291,,,,,,,,,,,needs_source_review
