feature_id,town,name,category,osm_url,website,wikipedia,osm_description,osm_opening_hours,curated_summary,curated_opening_hours,rating,rating_provider,rating_source_url,rating_accessed_at,review_status
osm-community:node-6634849139,Broxburn and Uphall,Above and Below,memorial,https://www.openstreetmap.org/node/6634849139,,,,,Above and Below is a current memorial or plaque in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2081384931,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/2081384931,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2081384932,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/2081384932,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2081384933,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/2081384933,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2085053492,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/2085053492,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2085053495,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/2085053495,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-3174814422,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/3174814422,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-3174814429,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/3174814429,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-3174814434,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/3174814434,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-3174814444,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/3174814444,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-4527092461,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/4527092461,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-6938373762,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/6938373762,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12479602181,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/12479602181,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12479602182,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/12479602182,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12479602183,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/12479602183,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12479602184,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/12479602184,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-13140145389,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/13140145389,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-13926316163,Broxburn and Uphall,Bench,picnic,https://www.openstreetmap.org/node/13926316163,,,,,Current picnic or rest facility in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-6437939561,Broxburn and Uphall,Bravo,food,https://www.openstreetmap.org/node/6437939561,https://www.bravobroxburn.co.uk/.,,,,Bravo is a current food and drink place in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12552024571,Broxburn and Uphall,Broxburn Community Museum,art,https://www.openstreetmap.org/node/12552024571,https://www.westlothian.gov.uk/article/44863/Broxburn-Community-Museum.,,,,Broxburn Community Museum is a current public artwork in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1463509274,Broxburn and Uphall,Buchan Memorial Chapel,memorial,https://www.openstreetmap.org/way/1463509274,,,,,Buchan Memorial Chapel is a current memorial or plaque in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-5399030897,Broxburn and Uphall,Coffee Express,food,https://www.openstreetmap.org/node/5399030897,,,,,Coffee Express is a current food and drink place in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-5282198744,Broxburn and Uphall,Dotty's Sandwich and Coffee Shop,food,https://www.openstreetmap.org/node/5282198744,,,,Mo-Sa 08:00-15:00.,Dotty's Sandwich and Coffee Shop is a current food and drink place in Broxburn and Uphall recorded by OpenStreetMap.,,,,,,source_reviewed
