feature_id,town,name,category,osm_url,website,wikipedia,osm_description,osm_opening_hours,curated_summary,curated_opening_hours,rating,rating_provider,rating_source_url,rating_accessed_at,review_status
osm-community:node-4804188236,Dunning,Bench,picnic,https://www.openstreetmap.org/node/4804188236,,,,,,,,,,,needs_source_review
osm-community:node-13890951709,Dunning,Bench,picnic,https://www.openstreetmap.org/node/13890951709,,,,,,,,,,,needs_source_review
osm-community:node-12022946334,Dunning,Drinking Fountain,memorial,https://www.openstreetmap.org/node/12022946334,,,,,,,,,,,needs_source_review
osm-community:node-13002270145,Dunning,Drinking Fountain,picnic,https://www.openstreetmap.org/node/13002270145,,,,,,,,,,,needs_source_review
osm-community:node-2668670075,Dunning,Dunning,historic,https://www.openstreetmap.org/node/2668670075,,,,,,,,,,,needs_source_review
osm-community:node-13144236115,Dunning,Dunning War Comforts Committee Memorial,memorial,https://www.openstreetmap.org/node/13144236115,,,,,,,,,,,needs_source_review
osm-community:node-2668670046,Dunning,Findony,historic,https://www.openstreetmap.org/node/2668670046,,,,,,,,,,,needs_source_review
osm-community:node-12022946386,Dunning,Historic place,historic,https://www.openstreetmap.org/node/12022946386,,,,,,,,,,,needs_source_review
osm-community:node-12022946346,Dunning,Information board,visitor,https://www.openstreetmap.org/node/12022946346,,,,,,,,,,,needs_source_review
osm-community:node-2553037364,Dunning,Kincladie Wood Roman camp,historic,https://www.openstreetmap.org/node/2553037364,,,,,,,,,,,needs_source_review
osm-community:way-702241566,Dunning,Kincladie Wood Roman camp wall,historic,https://www.openstreetmap.org/way/702241566,,,,,,,,,,,needs_source_review
osm-community:way-488053718,Dunning,Kirkstyle Inn,food,https://www.openstreetmap.org/way/488053718,,,,,,,,,,,needs_source_review
osm-community:way-1085882188,Dunning,Parking,parking,https://www.openstreetmap.org/way/1085882188,,,,,,,,,,,needs_source_review
osm-community:node-12022637366,Dunning,Picnic table,picnic,https://www.openstreetmap.org/node/12022637366,,,,,,,,,,,needs_source_review
osm-community:node-2668693814,Dunning,Pitcairns,historic,https://www.openstreetmap.org/node/2668693814,,,,,,,,,,,needs_source_review
osm-community:way-1013567606,Dunning,Playground,leisure,https://www.openstreetmap.org/way/1013567606,,,,,,,,,,,needs_source_review
osm-community:way-1013568423,Dunning,Playground,leisure,https://www.openstreetmap.org/way/1013568423,,,,,,,,,,,needs_source_review
osm-community:node-12022638574,Dunning,The Roman Camp At Dunning,visitor,https://www.openstreetmap.org/node/12022638574,,,,,,,,,,,needs_source_review
osm-community:node-4802470557,Dunning,Thorn Tree,memorial,https://www.openstreetmap.org/node/4802470557,,,,,,,,,,,needs_source_review
osm-community:node-4802470568,Dunning,War Memorial,memorial,https://www.openstreetmap.org/node/4802470568,,,,,,,,,,,needs_source_review
