feature_id,town,name,category,osm_url,website,wikipedia,osm_description,osm_opening_hours,curated_summary,curated_opening_hours,rating,rating_provider,rating_source_url,rating_accessed_at,review_status
osm-community:way-944809040,Gourock,Albert Road Play Area,leisure,https://www.openstreetmap.org/way/944809040,,,,,Albert Road Play Area is a current leisure in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-539300535,Gourock,Albert Road Toilets,amenities,https://www.openstreetmap.org/way/539300535,,,,,Albert Road Toilets is a current amenity in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-5646287020,Gourock,Aulds,food,https://www.openstreetmap.org/node/5646287020,,,,,Aulds is a current food and drink place in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-10220529265,Gourock,Bench,picnic,https://www.openstreetmap.org/node/10220529265,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-10220529266,Gourock,Bench,picnic,https://www.openstreetmap.org/node/10220529266,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-11046851818,Gourock,Bench,picnic,https://www.openstreetmap.org/node/11046851818,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-11046851821,Gourock,Bench,picnic,https://www.openstreetmap.org/node/11046851821,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-11046851822,Gourock,Bench,picnic,https://www.openstreetmap.org/node/11046851822,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-11046851823,Gourock,Bench,picnic,https://www.openstreetmap.org/node/11046851823,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-11281726143,Gourock,Bench,picnic,https://www.openstreetmap.org/node/11281726143,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-11281726144,Gourock,Bench,picnic,https://www.openstreetmap.org/node/11281726144,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-11281726145,Gourock,Bench,picnic,https://www.openstreetmap.org/node/11281726145,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-11281726146,Gourock,Bench,picnic,https://www.openstreetmap.org/node/11281726146,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-11281726147,Gourock,Bench,picnic,https://www.openstreetmap.org/node/11281726147,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-13307930252,Gourock,Bench,picnic,https://www.openstreetmap.org/node/13307930252,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-13664826563,Gourock,Bench,picnic,https://www.openstreetmap.org/node/13664826563,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-13665891297,Gourock,Bench,picnic,https://www.openstreetmap.org/node/13665891297,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1491112152,Gourock,Bench,picnic,https://www.openstreetmap.org/way/1491112152,,,,,Current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1517761936,Gourock,Cloch Lighthouse,historic,https://www.openstreetmap.org/way/1517761936,,,,,Cloch Lighthouse is a current historic place in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-7077888243,Gourock,Coorie Doon,visitor,https://www.openstreetmap.org/node/7077888243,,,,,Coorie Doon is a current visitor place in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-452829789,Gourock,Cove Road Playpark,leisure,https://www.openstreetmap.org/way/452829789,,,,,Cove Road Playpark is a current leisure in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-769097168,Gourock,Craigs Top,visitor,https://www.openstreetmap.org/node/769097168,,,,,Craigs Top is a current visitor place in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-13006456279,Gourock,Fountain,picnic,https://www.openstreetmap.org/node/13006456279,,,,,Fountain is a current picnic facility in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-4497083904,Gourock,Free French Memorial,historic,https://www.openstreetmap.org/node/4497083904,,,,,Free French Memorial is a current historic place in Gourock recorded by OpenStreetMap.,,,,,,source_reviewed
