feature_id,town,name,category,osm_url,website,wikipedia,osm_description,osm_opening_hours,curated_summary,curated_opening_hours,rating,rating_provider,rating_source_url,rating_accessed_at,review_status
osm-community:node-11099992869,Kirknewton,A Stone's Progress,art,https://www.openstreetmap.org/node/11099992869,,,,,A Stone's Progress is a current public artwork in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-1378590911,Kirknewton,Bench,picnic,https://www.openstreetmap.org/node/1378590911,,,,,Current picnic or rest facility in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9962388424,Kirknewton,Bench,picnic,https://www.openstreetmap.org/node/9962388424,,,,,Current picnic or rest facility in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9962388498,Kirknewton,Bench,picnic,https://www.openstreetmap.org/node/9962388498,,,,,Current picnic or rest facility in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-10792942513,Kirknewton,Bench,picnic,https://www.openstreetmap.org/node/10792942513,,,,,Current picnic or rest facility in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-10792942517,Kirknewton,Bench,picnic,https://www.openstreetmap.org/node/10792942517,,,,,Current picnic or rest facility in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-13201340582,Kirknewton,German Air Crew War Memorial,memorial,https://www.openstreetmap.org/node/13201340582,,,,,German Air Crew War Memorial is a current memorial or plaque in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9044936860,Kirknewton,Information board,visitor,https://www.openstreetmap.org/node/9044936860,,,,,Information board is a current visitor place in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9044936859,Kirknewton,Kirknewton and East Calder War Memorial,memorial,https://www.openstreetmap.org/node/9044936859,,,,,Kirknewton and East Calder War Memorial is a current memorial or plaque in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-96189975,Kirknewton,Parking,parking,https://www.openstreetmap.org/way/96189975,,,,,Current parking place in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-294736243,Kirknewton,Parking,parking,https://www.openstreetmap.org/way/294736243,,,,,Current parking place in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-389738972,Kirknewton,Parking,parking,https://www.openstreetmap.org/way/389738972,,,,,Current parking place in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1087310541,Kirknewton,Parking,parking,https://www.openstreetmap.org/way/1087310541,,,,,Current parking place in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-10792942515,Kirknewton,Picnic table,picnic,https://www.openstreetmap.org/node/10792942515,,,,,Picnic table is a current picnic or rest facility in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-10792942516,Kirknewton,Picnic table,picnic,https://www.openstreetmap.org/node/10792942516,,,,,Picnic table is a current picnic or rest facility in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-10792942518,Kirknewton,Picnic table,picnic,https://www.openstreetmap.org/node/10792942518,,,,,Picnic table is a current picnic or rest facility in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-10792942519,Kirknewton,Picnic table,picnic,https://www.openstreetmap.org/node/10792942519,,,,,Picnic table is a current picnic or rest facility in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-10792942521,Kirknewton,Picnic table,picnic,https://www.openstreetmap.org/node/10792942521,,,,,Picnic table is a current picnic or rest facility in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-121293524,Kirknewton,Playground,leisure,https://www.openstreetmap.org/way/121293524,,,,,Current leisure place in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-10792942512,Kirknewton,Public toilets,amenities,https://www.openstreetmap.org/node/10792942512,,,,Mo-Su 09:00-18:00.,Public toilets is a current amenity in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-909351246,Kirknewton,Public toilets,amenities,https://www.openstreetmap.org/way/909351246,,,,,Public toilets is a current amenity in Kirknewton recorded by OpenStreetMap.,,,,,,source_reviewed
