feature_id,town,name,category,osm_url,website,wikipedia,osm_description,osm_opening_hours,curated_summary,curated_opening_hours,rating,rating_provider,rating_source_url,rating_accessed_at,review_status
osm-community:node-4592926618,Linlithgow,aran,food,https://www.openstreetmap.org/node/4592926618,,,,,aran is a current food and drink place in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-5126658391,Linlithgow,Baked,food,https://www.openstreetmap.org/node/5126658391,,,,,Baked is a current food and drink place in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-3644699531,Linlithgow,Bar Leo,food,https://www.openstreetmap.org/node/3644699531,https://www.barleo.co.uk/.,,,,Bar Leo is a current food and drink place in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-4159974225,Linlithgow,Battle of Linlithgow Bridge 1526,memorial,https://www.openstreetmap.org/node/4159974225,,,,,Battle of Linlithgow Bridge 1526 is a current memorial or plaque in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2011451366,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2011451366,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058518756,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058518756,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058518803,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058518803,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058518840,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058518840,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058518880,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058518880,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058518972,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058518972,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058519007,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058519007,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058519019,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058519019,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058519033,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058519033,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058519272,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058519272,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058519301,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058519301,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058519317,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058519317,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058519323,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058519323,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058519341,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058519341,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058519347,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058519347,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2058519352,Linlithgow,Bench,picnic,https://www.openstreetmap.org/node/2058519352,,,,,Current picnic or rest facility in Linlithgow recorded by OpenStreetMap.,,,,,,source_reviewed
