feature_id,town,name,category,osm_url,website,wikipedia,osm_description,osm_opening_hours,curated_summary,curated_opening_hours,rating,rating_provider,rating_source_url,rating_accessed_at,review_status
osm-community:node-2226214619,Livingston,Abstract,art,https://www.openstreetmap.org/node/2226214619,,,,,Abstract is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9487179825,Livingston,Adaab Shinwari Restaurant,food,https://www.openstreetmap.org/node/9487179825,,,,,Adaab Shinwari Restaurant is a current food and drink place in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-224423322,Livingston,Adolfo's,food,https://www.openstreetmap.org/way/224423322,,,,,Adolfo's is a current food and drink place in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9461134004,Livingston,Almond Park Heron Stone,art,https://www.openstreetmap.org/node/9461134004,,,,,Almond Park Heron Stone is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9461134007,Livingston,Almond Park Ladybird Stone,art,https://www.openstreetmap.org/node/9461134007,,,,,Almond Park Ladybird Stone is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9461134008,Livingston,Almond Park Oak Stone,art,https://www.openstreetmap.org/node/9461134008,,,,,Almond Park Oak Stone is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9461155205,Livingston,Almond Park Otter Stone,art,https://www.openstreetmap.org/node/9461155205,,,,,Almond Park Otter Stone is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9461134003,Livingston,Almond Park Rose Stone,art,https://www.openstreetmap.org/node/9461134003,,,,,Almond Park Rose Stone is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-5924633463,Livingston,Almond Pool East,visitor,https://www.openstreetmap.org/node/5924633463,,,,,Almond Pool East is a current visitor place in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-244075641,Livingston,Almond Valley Heritage Centre,art,https://www.openstreetmap.org/way/244075641,https://www.almondvalley.co.uk/.,,,,Almond Valley Heritage Centre is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-11134889863,Livingston,AM Coffee,food,https://www.openstreetmap.org/node/11134889863,,,,,AM Coffee is a current food and drink place in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-3435619772,Livingston,Angel,art,https://www.openstreetmap.org/node/3435619772,,,,,Angel is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-7372410463,Livingston,Anton's Bench,picnic,https://www.openstreetmap.org/node/7372410463,,,,,Anton's Bench is a current picnic or rest facility in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8715669050,Livingston,Artwork,art,https://www.openstreetmap.org/node/8715669050,,,,,Artwork is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8715669052,Livingston,Artwork,art,https://www.openstreetmap.org/node/8715669052,,,,,Artwork is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8735233974,Livingston,Artwork,art,https://www.openstreetmap.org/node/8735233974,,,,,Artwork is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8735233975,Livingston,Artwork,art,https://www.openstreetmap.org/node/8735233975,,,,,Artwork is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9461262869,Livingston,Artwork,art,https://www.openstreetmap.org/node/9461262869,,,,,Artwork is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9464715302,Livingston,Artwork,art,https://www.openstreetmap.org/node/9464715302,,,,,Artwork is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9472984445,Livingston,Artwork,art,https://www.openstreetmap.org/node/9472984445,,,,,Artwork is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9472984446,Livingston,Artwork,art,https://www.openstreetmap.org/node/9472984446,,,,,Artwork is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-11360743670,Livingston,Artwork,art,https://www.openstreetmap.org/node/11360743670,,,,,Artwork is a current public artwork in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-7507135514,Livingston,Asda Café,food,https://www.openstreetmap.org/node/7507135514,,,,Mo-Su 08:30-18:00,Asda Café is a current food and drink place in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12973941901,Livingston,Bakers + Baristas,food,https://www.openstreetmap.org/node/12973941901,,,,,Bakers + Baristas is a current food and drink place in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12974495412,Livingston,Bakers + Baristas,food,https://www.openstreetmap.org/node/12974495412,,,,,Bakers + Baristas is a current food and drink place in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-7023854746,Livingston,Bay Leaf,food,https://www.openstreetmap.org/node/7023854746,,,,,Bay Leaf is a current food and drink place in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2590041458,Livingston,Beefeater,food,https://www.openstreetmap.org/node/2590041458,https://www.beefeater.co.uk/en-gb/locations/west-lothian/deer-park.,,,,Beefeater is a current food and drink place in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-1309586225,Livingston,Bench,picnic,https://www.openstreetmap.org/node/1309586225,,,,,Current picnic or rest facility in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-1345936902,Livingston,Bench,picnic,https://www.openstreetmap.org/node/1345936902,,,,,Current picnic or rest facility in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-1428226227,Livingston,Bench,picnic,https://www.openstreetmap.org/node/1428226227,,,,,Current picnic or rest facility in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-1630130020,Livingston,Bench,picnic,https://www.openstreetmap.org/node/1630130020,,,,,Current picnic or rest facility in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-1630130029,Livingston,Bench,picnic,https://www.openstreetmap.org/node/1630130029,,,,,Current picnic or rest facility in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-1630130040,Livingston,Bench,picnic,https://www.openstreetmap.org/node/1630130040,,,,,Current picnic or rest facility in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-1630130042,Livingston,Bench,picnic,https://www.openstreetmap.org/node/1630130042,,,,,Current picnic or rest facility in Livingston recorded by OpenStreetMap.,,,,,,source_reviewed
