feature_id,town,name,category,osm_url,website,wikipedia,osm_description,osm_opening_hours,curated_summary,curated_opening_hours,rating,rating_provider,rating_source_url,rating_accessed_at,review_status
osm-community:node-10764736413,South Queensferry,Artwork,art,https://www.openstreetmap.org/node/10764736413,,,,,Artwork is a current public artwork in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-11035910361,South Queensferry,Artwork,art,https://www.openstreetmap.org/node/11035910361,,,,,Artwork is a current public artwork in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12908491719,South Queensferry,Artwork,art,https://www.openstreetmap.org/node/12908491719,,,,,Artwork is a current public artwork in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12983510920,South Queensferry,Battle of Jutland Memorial,memorial,https://www.openstreetmap.org/node/12983510920,,,,,Battle of Jutland Memorial is a current memorial or plaque in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-10557250200,South Queensferry,Bellstane,visitor,https://www.openstreetmap.org/node/10557250200,,,,,Bellstane is a current visitor place in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2661485279,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/2661485279,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2661485284,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/2661485284,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-3579206959,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/3579206959,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-4301357835,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/4301357835,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-4301357836,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/4301357836,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-4301357837,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/4301357837,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-4304568237,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/4304568237,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-4304568239,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/4304568239,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-4304568240,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/4304568240,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-4304568241,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/4304568241,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-4304568242,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/4304568242,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-4304568243,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/4304568243,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-4304568244,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/4304568244,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-6822735400,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/6822735400,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-6822735684,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/6822735684,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-6822736875,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/6822736875,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-7609664977,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/7609664977,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-7609664978,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/7609664978,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-7609664979,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/7609664979,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-7609664980,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/7609664980,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-7609664982,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/7609664982,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-7609664983,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/7609664983,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-7609664984,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/7609664984,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-7609671585,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/7609671585,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9802565105,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/9802565105,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9802565106,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/9802565106,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9883878342,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/9883878342,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9883878343,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/9883878343,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9883878344,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/9883878344,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-9883878345,South Queensferry,Bench,picnic,https://www.openstreetmap.org/node/9883878345,,,,,Current picnic or rest facility in South Queensferry recorded by OpenStreetMap.,,,,,,source_reviewed
