feature_id,town,name,category,osm_url,website,wikipedia,osm_description,osm_opening_hours,curated_summary,curated_opening_hours,rating,rating_provider,rating_source_url,rating_accessed_at,review_status
osm-community:node-8949806518,Torphichen,Bench,picnic,https://www.openstreetmap.org/node/8949806518,,,,,Current picnic or rest facility in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1063403615,Torphichen,Bench,picnic,https://www.openstreetmap.org/way/1063403615,,,,,Current picnic or rest facility in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1063403616,Torphichen,Bench,picnic,https://www.openstreetmap.org/way/1063403616,,,,,Current picnic or rest facility in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1063403617,Torphichen,Bench,picnic,https://www.openstreetmap.org/way/1063403617,,,,,Current picnic or rest facility in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1063403618,Torphichen,Bench,picnic,https://www.openstreetmap.org/way/1063403618,,,,,Current picnic or rest facility in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1063403619,Torphichen,Bench,picnic,https://www.openstreetmap.org/way/1063403619,,,,,Current picnic or rest facility in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1063403620,Torphichen,Bench,picnic,https://www.openstreetmap.org/way/1063403620,,,,,Current picnic or rest facility in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1063403621,Torphichen,Bench,picnic,https://www.openstreetmap.org/way/1063403621,,,,,Current picnic or rest facility in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1063403622,Torphichen,Bench,picnic,https://www.openstreetmap.org/way/1063403622,,,,,Current picnic or rest facility in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1063403623,Torphichen,Bench,picnic,https://www.openstreetmap.org/way/1063403623,,,,,Current picnic or rest facility in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-368687979,Torphichen,Parking,parking,https://www.openstreetmap.org/way/368687979,,,,,Current parking place in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1011207756,Torphichen,Parking,parking,https://www.openstreetmap.org/way/1011207756,,,,,Current parking place in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1063051064,Torphichen,Parking,parking,https://www.openstreetmap.org/way/1063051064,,,,,Current parking place in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1063051065,Torphichen,Parking,parking,https://www.openstreetmap.org/way/1063051065,,,,,Current parking place in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-782448817,Torphichen,Playground,leisure,https://www.openstreetmap.org/way/782448817,,,,,Current leisure place in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1063051059,Torphichen,Playground,leisure,https://www.openstreetmap.org/way/1063051059,,,,,Current leisure place in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-7306452987,Torphichen,Rev Hugh Mackay,memorial,https://www.openstreetmap.org/node/7306452987,,,,,Rev Hugh Mackay is a current memorial or plaque in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-3725355463,Torphichen,Victoria Diamond Jubilee Memorial,memorial,https://www.openstreetmap.org/node/3725355463,,,,,Victoria Diamond Jubilee Memorial is a current memorial or plaque in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-13182314718,Torphichen,War Memorial,memorial,https://www.openstreetmap.org/node/13182314718,,,,,War Memorial is a current memorial or plaque in Torphichen recorded by OpenStreetMap.,,,,,,source_reviewed
