feature_id,town,name,category,osm_url,website,wikipedia,osm_description,osm_opening_hours,curated_summary,curated_opening_hours,rating,rating_provider,rating_source_url,rating_accessed_at,review_status
osm-community:node-12142091940,Whitburn,Andy's Coffee House,food,https://www.openstreetmap.org/node/12142091940,,,,,Andy's Coffee House is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-3761390508,Whitburn,Bench,picnic,https://www.openstreetmap.org/node/3761390508,,,,,Current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-3761390509,Whitburn,Bench,picnic,https://www.openstreetmap.org/node/3761390509,,,,,Current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12127646316,Whitburn,Casa Amiga,food,https://www.openstreetmap.org/node/12127646316,https://www.facebook.com/casaamigaleith/.,,,Mo-Su 09:00-16:00,Casa Amiga is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12142091942,Whitburn,Christie... the baker,food,https://www.openstreetmap.org/node/12142091942,https://www.facebook.com/christiethebaker/.,,,,Christie... the baker is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12141829060,Whitburn,Flames,food,https://www.openstreetmap.org/node/12141829060,https://www.flamestandoori.com/.,,,Mo-Th 16:00-23:00,Flames is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12142260122,Whitburn,Golden Bowl,food,https://www.openstreetmap.org/node/12142260122,https://www.goldenbowlchinesewhitburn.co.uk/.,,,Mo-Tu 16:00-22:30,Golden Bowl is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12140483990,Whitburn,Great Wall,food,https://www.openstreetmap.org/node/12140483990,https://www.greatwallwhitburn.co.uk/.,,,,Great Wall is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12151943824,Whitburn,Happy House,food,https://www.openstreetmap.org/node/12151943824,https://www.newhappyhousewhitburnonline.co.uk/.,,,Mo-Th 16:30-22:30,Happy House is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-904189886,Whitburn,Heartlands Swing Park,leisure,https://www.openstreetmap.org/way/904189886,,,,,Heartlands Swing Park is a current leisure place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12151943820,Whitburn,Jade Palace,food,https://www.openstreetmap.org/node/12151943820,https://jadepalacewhitburn.co.uk/.,,,Tu-Su 15:00-22:00,Jade Palace is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-494115095,Whitburn,Karma,food,https://www.openstreetmap.org/way/494115095,https://www.karmawhitburn.co.uk/.,,,Tu-Sa 16:30-21:30,Karma is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12151811250,Whitburn,Kings Fayre,food,https://www.openstreetmap.org/node/12151811250,,,,,Kings Fayre is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12140483987,Whitburn,Lickilicious,food,https://www.openstreetmap.org/node/12140483987,https://www.lickiliciouswhitburn.co.uk/.,,,,Lickilicious is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8212903010,Whitburn,Loughran's Bakery,food,https://www.openstreetmap.org/node/8212903010,,,,Mo-Su 05:00-17:00,Loughran's Bakery is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12141829063,Whitburn,Ma'ami's Kitchen,food,https://www.openstreetmap.org/node/12141829063,https://maamiskitchen.co.uk/.,,,"Tu-Th 11:00-14:00,17:00-20:00",Ma'ami's Kitchen is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12142260121,Whitburn,Mia's,visitor,https://www.openstreetmap.org/node/12142260121,https://www.miasballoonsandgifts.co.uk/.,,,Mo-Sa 09:00-17:00,Mia's is a current visitor place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-204267799,Whitburn,Miners Play Park,leisure,https://www.openstreetmap.org/way/204267799,,,,,Miners Play Park is a current leisure place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-13357509293,Whitburn,Miners’ Strike 1984-85 Memorial,memorial,https://www.openstreetmap.org/node/13357509293,,,,,Miners’ Strike 1984-85 Memorial is a current memorial or plaque in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12922878298,Whitburn,Mining Memorial,memorial,https://www.openstreetmap.org/node/12922878298,,,,,Mining Memorial is a current memorial or plaque in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12140250085,Whitburn,Mrs Chan's Chinese Food Bar,food,https://www.openstreetmap.org/node/12140250085,,,,,Mrs Chan's Chinese Food Bar is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12140483989,Whitburn,Pamir Express,food,https://www.openstreetmap.org/node/12140483989,https://www.pamirexpresswhitburn.co.uk/.,,,,Pamir Express is a current food and drink place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-1086900533,Whitburn,Parking,parking,https://www.openstreetmap.org/node/1086900533,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-12160205633,Whitburn,Parking,parking,https://www.openstreetmap.org/node/12160205633,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-197099566,Whitburn,Parking,parking,https://www.openstreetmap.org/way/197099566,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-203945977,Whitburn,Parking,parking,https://www.openstreetmap.org/way/203945977,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-204267800,Whitburn,Parking,parking,https://www.openstreetmap.org/way/204267800,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-372578304,Whitburn,Parking,parking,https://www.openstreetmap.org/way/372578304,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-372580353,Whitburn,Parking,parking,https://www.openstreetmap.org/way/372580353,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-372580354,Whitburn,Parking,parking,https://www.openstreetmap.org/way/372580354,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-372769220,Whitburn,Parking,parking,https://www.openstreetmap.org/way/372769220,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-390112269,Whitburn,Parking,parking,https://www.openstreetmap.org/way/390112269,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-390112272,Whitburn,Parking,parking,https://www.openstreetmap.org/way/390112272,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-390112273,Whitburn,Parking,parking,https://www.openstreetmap.org/way/390112273,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-390112274,Whitburn,Parking,parking,https://www.openstreetmap.org/way/390112274,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-390254273,Whitburn,Parking,parking,https://www.openstreetmap.org/way/390254273,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-390254274,Whitburn,Parking,parking,https://www.openstreetmap.org/way/390254274,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-419545597,Whitburn,Parking,parking,https://www.openstreetmap.org/way/419545597,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-419545600,Whitburn,Parking,parking,https://www.openstreetmap.org/way/419545600,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-461176922,Whitburn,Parking,parking,https://www.openstreetmap.org/way/461176922,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-751850673,Whitburn,Parking,parking,https://www.openstreetmap.org/way/751850673,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-922911823,Whitburn,Parking,parking,https://www.openstreetmap.org/way/922911823,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-927718109,Whitburn,Parking,parking,https://www.openstreetmap.org/way/927718109,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-969241429,Whitburn,Parking,parking,https://www.openstreetmap.org/way/969241429,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-969241451,Whitburn,Parking,parking,https://www.openstreetmap.org/way/969241451,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1019746049,Whitburn,Parking,parking,https://www.openstreetmap.org/way/1019746049,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1509936942,Whitburn,Parking,parking,https://www.openstreetmap.org/way/1509936942,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1509939335,Whitburn,Parking,parking,https://www.openstreetmap.org/way/1509939335,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1509939336,Whitburn,Parking,parking,https://www.openstreetmap.org/way/1509939336,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-1509969931,Whitburn,Parking,parking,https://www.openstreetmap.org/way/1509969931,,,,,Current parking place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-969241432,Whitburn,Picnic site,picnic,https://www.openstreetmap.org/way/969241432,,,,,Picnic site is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-2142920171,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/2142920171,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-3761390476,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/3761390476,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-5626306684,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/5626306684,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-5626306699,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/5626306699,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928693,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928693,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928694,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928694,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928695,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928695,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928696,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928696,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928697,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928697,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928698,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928698,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928699,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928699,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928700,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928700,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928701,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928701,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928702,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928702,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928703,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928703,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928704,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928704,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928708,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928708,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:node-8987928712,Whitburn,Picnic table,picnic,https://www.openstreetmap.org/node/8987928712,,,,,Picnic table is a current picnic or rest facility in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
osm-community:way-372575849,Whitburn,Playground,leisure,https://www.openstreetmap.org/way/372575849,,,,,Current leisure place in Whitburn recorded by OpenStreetMap.,,,,,,source_reviewed
